职位,学历,经验,公司,"城市,",区域,商圈,技能列表,福利列表
ros软件工程师,本科,经验不限,青岛福莱斯特机械,青岛,黄岛区,海上嘉年华,"['C++', 'Python', 'MySQL', 'OpenGL', 'Linux开发/部署经验', '接受实习/在校生投递']",[]
软件工程师,本科,在校/应届,英科医疗,青岛,,,"['Java', 'Python']","['股票期权', '补充医疗保险', '年终奖', '餐补', '生日福利', '工龄奖', '宿舍有空调', '全勤奖', '团建聚餐', '带薪年假', '节日福利', '五险一金', '免费班车', '定期体检', '有无线网', '绩效奖金', '员工旅游', '加班补助', '零食下午茶']"
大数据开发,本科,3-5年,某大型互联网公司,青岛,,,"['非外包类', '要求数据开发经验', '数据平台开发经验', '实时数仓开发经验', 'Shell', 'Spark', 'Hive', 'Flink', 'Kafka', 'HCIP', '华为云']","['通讯补贴', '高温补贴', '法定节假日三薪', '宿舍有空调', '带薪年假', '定期体检', '全勤奖', '交通补助', '年终奖', '团建聚餐']"
ai应用工程师,本科,1-3年,青岛福莱易通,青岛,市南区,宁夏路,"['Java', 'Python']","['餐补', '带薪年假', '节日福利', '五险一金']"
软件算法工程师,本科,1-3年,柯锐思德,青岛,黄岛区,唐岛湾,"['机器学习', '其他', '图像算法', '运筹优化算法', '多模态算法', '融合感知算法', '模型加速/性能优化', 'C/C++', 'Python', 'MATLAB', '算法工程化经验', '优秀开源项目经历', '接受实习/在校生投递']","['五险一金', '年终奖', '股票期权']"
3d开发工程师,本科,1-3年,山东英吉多,青岛,即墨区,通济,"['C++', 'Java', 'Python', 'STL', 'Boost', 'MySQL', 'Linux开发/部署经验', '上位机开发经验', '地图/导航经验', '嵌入式软件经验']","['免费班车', '节日福利', '加班补助', '全勤奖', '餐补', '定期体检', '包吃', '免费工装', '五险一金']"
java程序员,本科,10年以上,钜博技术,青岛,市南区,宁夏路,"['Java', 'C', 'PHP', '不接受居家办公', 'Spring', 'MyBatis', 'MySQL', 'Oracle', '架构设计经验', '物联网经验', '大数据经验', '电商']","['全勤奖', '股票期权', '绩效奖金']"
检测软件开发岗,本科,5-10年,歌尔,青岛,崂山区,海尔路,"['C++', 'C', 'C#', '上位机开发经验']","['住房补贴', '节日福利', '定期体检', '餐补', '股票期权', '带薪年假', '加班补助', '全勤奖', '员工旅游', '年终奖', '五险一金', '免费班车']"
少儿编程负责人,大专,3-5年,慕聪教育集团,青岛,黄岛区,胶南,"['教学管理', 'python', 'scratch', '少儿编程', '培训机构', '小颗粒']",[]
软件/人工智能工程师,本科,3-5年,宏巨汽车供应链,青岛,市南区,香港中路,"['Python', 'Java', 'C++', 'C#', 'Numpy', 'Pandas', 'MySQL', 'Oracle', '团队管理经验', '架构设计经验', '运维开发经验', '爬虫经验']","['交通补助', '高温补贴', '五险一金', '婚育病丧补助', '员工旅游', '通讯补贴', '护理假', '绩效奖金', '定期体检', '团建聚餐', '带薪年假', '零食下午茶', '有无线网', '春节路程假', '餐补', '育儿假', '节日福利']"
乐高机器人教学主管,大专,1年以内,科锐教育,青岛,城阳区,正阳路,"['教学主管', 'python', '大型教育机构经验', '教育工作经验', '培训机构', '线下教育', '管理', '学前儿童/小学生', '教育学相关专业']","['有无线网', '保底工资', '绩效奖金', '工龄奖', '五险一金', '底薪加提成', '员工旅游', '免费工装', '餐补', '住房补贴', '带薪年假', '全勤奖', '团建聚餐', '年终奖']"
软件工程师,本科,经验不限,光流海洋,青岛,黄岛区,石油大学,"['C++', 'Python']","['年终奖', '五险一金', '通讯补贴', '带薪年假', '餐补', '加班补助', '全勤奖', '交通补助', '节日福利']"
无人机研发工程师,本科,3-5年,通产智能,青岛,,,['无人机'],"['包吃', '生日福利', '团建聚餐', '包住', '年终奖', '节日福利', '带薪年假', '宿舍有空调', '五险一金']"
技术部程序员,大专,1-3年,寻声网络,青岛,崂山区,松岭路,"['Python', 'CSS']",[]
脚本开发,大专,1-3年,星图网络,青岛,黄岛区,胶南,"['网络爬虫技术', 'python', 'node']","['全勤奖', '餐补', '零食下午茶', '生日福利', '节日福利']"
