职位,学历,经验,技能列表,薪资,公司,公司人数,"城市,",区域
Python,本科,经验不限,['Python'],15-30K·16薪,某知名互联网上市公司,1000-9999人,南京,
python实习生,本科,,"['爬虫经验', 'PyTorch', 'Docker', 'MySQL', 'Python']",100-150元/天,CYCLONE RPA,500-999人,南京,雨花台区
Python开发设计师,大专,经验不限,"['Python', 'Java', 'Kafka', 'TensorFlow', 'Redis', '架构设计经验']",13-21K·13薪,今夜到家健康科技,20-99人,南京,鼓楼区
C/C++/java/python/web/算法/测试,本科,经验不限,"['Java', 'C++', 'C', 'Scrapy', 'Tornado', 'Flask', 'MySQL', 'Redis', 'Oracle']",15-30K·14薪,西安华为技术有限公司,1000-9999人,南京,雨花台区
Python,本科,3-5年,"['爬虫经验', '微服务经验', 'Django', 'MySQL', 'Redis', 'MongoDB', '架构设计经验', 'Numpy', 'Python', 'Flask']",10-15K,南京玻尔兹曼信息科技,0-20人,南京,浦口区
python高级开发工程师,本科,3-5年,"['Python', 'Django', 'Numpy', 'Flask', 'Pandas', 'MySQL', 'Oracle', 'Redis', 'Hadoop', 'Spark', '运维开发经验']",16-18K,湖北科之锐教育科技,20-99人,南京,秦淮区
python开发工程师,本科,1-3年,"['Django', 'MySQL', 'AI', 'Python']",10-12K,明月华炎,100-499人,南京,
Python开发工程师 实习生,本科,,"['网络爬虫技术', 'Django', 'Flask', 'Scrapy', 'Pyspider']",100-200元/天,边缘智能研究院,20-99人,南京,
Python,本科,3-5年,"['Python', 'Java', 'Docker', 'MySQL', 'Redis', 'Oracle', 'Linux开发/部署经验', '分布式经验', '爬虫经验']",8-13K,慧诺科技,20-99人,南京,雨花台区
python开发工程师,本科,1-3年,"['Django', 'MySQL', 'Python', 'Flask']",10-15K·13薪,中创书局,100-499人,南京,
理工科！python编程老师双休六险一金长期班,本科,经验不限,['Python'],7-12K,核桃编程,1000-9999人,南京,
python开发工程师+外包+芜湖工作,本科,5-10年,"['Python', 'Django', 'Kafka', 'MySQL', 'MongoDB']",16-20K,海通安恒,1000-9999人,南京,玄武区
Python 后端工程师,大专,1-3年,"['接受无数字后端工程师经验', 'python', 'java']",8-12K,中数智美,20-99人,南京,
python开发实习生,本科,,"['Python', 'Django', 'Flask', 'MySQL', 'PostgreSQL']",200-250元/天,北京天润融通,500-999人,南京,雨花台区
python开发工程师,本科,3-5年,"['Python', 'Django', 'Scrapy', 'Elasticsearch', 'Nginx', 'Pandas', 'Redis', 'PostgreSQL', 'Linux开发/部署经验', '分布式经验']",15-20K,国投智能（南京）,100-499人,南京,雨花台区
Python/Perl后台开发工程师,本科,3-5年,"['软件工程师', 'python', 'perl']",13-15K·14薪,中盈优创,1000-9999人,南京,建邺区
Python（AI工具）—电力外包+双休,本科,3-5年,"['Python', 'Java', 'Django', 'Flask', 'Kubernetes', 'Docker', 'PyTorch', 'MySQL', 'AI 工具 langchain', 'FastGPT、Dify', 'LLMOpS']",11-15K,润和软件,10000人以上,南京,鼓楼区
python开发工程师,大专,1-3年,"['Golang', 'Django', 'Flask', 'MySQL', 'Redis', 'Python']",9-14K,拾柴信息,100-499人,南京,浦口区
Python,本科,经验不限,"['PyTorch', 'MySQL', '机器学习经验', 'Redis', '其他', 'Oracle', 'Linux开发/部署经验', 'Python', 'TensorFlow', 'HBase']",10-12K·13薪,中国电科28所,1000-9999人,南京,栖霞区
python数据开发工程师,学历不限,3-5年,"['flink', 'Pvthon', '爬虫经验', 'Scala', '大数据处理', '其他', 'Python']",14-20K,落尘文学,20-99人,南京,雨花台区
python开发工程师,本科,3-5年,['Python'],12-18K,艺赛旗,100-499人,南京,栖霞区
python开发工程师,本科,3-5年,"['Python', 'Django', 'Flask', 'Docker', 'Kubernetes', 'Nginx', 'Redis', 'PostgreSQL', '大模型', '智能体', 'Langchain']",12-20K,中新赛克,1000-9999人,南京,雨花台区
Python开发,本科,3-5年,"['k8s', 'Python']",11-18K,法本,10000人以上,南京,雨花台区
python,大专,,"['Rpa', 'Numpy', 'Python']",100-180元/天,南京南鹰科技有限公司,0-20人,南京,江宁区
