职位,学历,经验,技能列表,薪资,公司,公司人数,"城市,",区域
AI开发,本科,1-3年,"['深度学习', '大模型算法', '自然语言处理算法', '数据挖掘', '推荐算法', '图像算法', '搜索算法', 'C/C++', 'Python', '大数据处理工具(Spark/Hadoop/Hive)', '并行计算', '算法工程化经验', '团队管理经验', 'AI开发', '医疗AI', '文件核查AI']",8-13K,临研通,100-499人,无锡,惠山区
Python老师,本科,1-3年,"['Python', 'C++']",6-11K,梁溪区码童学咨询...,0-20人,无锡,梁溪区
AI应用工程师,本科,1-3年,"['Java', '深度学习', '有大模型应用经验', '数据挖掘', '推荐算法', 'Python', 'SQL']",15-30K,医迈德,20-99人,无锡,新吴区
测试工程师,本科,3-5年,[],13-18K·14薪,北京木牛一心机器...,100-499人,无锡,梁溪区
对日BSE,本科,5-10年,"['Java', '团队管理经验', '不接受居家办公']",9-10K,森茂科技,100-499人,无锡,新吴区
跨境电商数据工程师,本科,1-3年,['Python'],7-10K,无锡美颜琼,20-99人,无锡,新吴区
赴日软件工程师,本科,5-10年,"['C#', 'Java', 'Hibernate', '团队管理经验', '日语', 'MySQL', '接受无前端经验/技能', 'Spring', 'Python']",15-30K,ntt data,1000-9999人,无锡,新吴区
高级自动化测试工程师,本科,5-10年,"['TestNG', 'Selenium', 'JMeter']",12-20K·14薪,Pacvue 泊客电商,100-499人,无锡,新吴区
机器人编程教师,本科,1-3年,"['接受实习/在校生投递', '教育学专业背景', '大型教育机构经验', '坐班', '中学生', '熟练掌握计算机语言', '小班教学（3-25人）', '线下教育', '学前儿童/小学生', '一对一教学', '普通话发音标准', '全职']",8-12K,瓦力工厂无锡旗舰校,20-99人,无锡,梁溪区
Python,本科,1-3年,"['HTML', '前端开发', 'SQL', 'JavaScript', 'HTML5', 'Linux', 'Windows', 'Web端']",8-13K,智鸿达电子,0-20人,无锡,梁溪区
私有云运维工程师,本科,1-3年,[],8-13K,无锡市奥维尔自动...,0-20人,无锡,梁溪区
大模型工程师,本科,1-3年,['大模型'],15-25K,无锡览山信息科技,100-499人,无锡,新吴区
IT信息化工程师,大专,5-10年,"['企业内部IT技术支持', 'IT技术支持经验', 'AI部署', 'ERP/OA/CRM支持经验', 'Python']",9-12K,无锡激擎光电科技,100-499人,无锡,滨湖区
运维工程师（算法方向）,大专,3-5年,[],16-25K,某大型风电技术服务商上市公司,1000-9999人,无锡,
Golang,本科,1-3年,"['Golang', 'Python', 'C++', 'Docker', '计算机相关专业', 'Golang服务端开发经验']",7-12K·14薪,科湃科技,0-20人,无锡,滨湖区
电子电气工程师,大专,1-3年,"['电控工程师', '电子工艺工程师', '电子元器件工程师']",8-13K,江苏萨尔流体工程,0-20人,无锡,新吴区
充电桩项目经理,本科,5-10年,[],15-20K·13薪,博美芯电子科技,20-99人,无锡,梁溪区
it工程师,本科,经验不限,['企业内部IT技术支持'],7-12K·13薪,无锡住友电工运泰克,100-499人,无锡,新吴区
软件验证工程师,本科,1-3年,"['嵌入式测试', 'C++', '测试工作经验', '嵌入式测试']",8-13K,晶诺测试,20-99人,无锡,滨湖区
软件开发工程师（省创中心）,本科,3-5年,"['C++', 'C', 'Boost', 'CAD', 'STL', 'Open Cascade']",15-25K,集萃华科,100-499人,无锡,惠山区
ai算法工程师,本科,1-3年,"['C/C++', 'Python']",15-30K,友机技术,100-499人,无锡,滨湖区
运维开发工程师,本科,经验不限,"['Java', 'Docker', 'Linux', 'Zabbix/Prometheus', 'Python/Shell']",9-14K,神工坊,0-20人,无锡,滨湖区
2024资深嵌入式软件工程师,本科,5-10年,"['计算机相关专业', '通信相关专业', '嵌入式/单片机开发经验', '2.4G', 'KEIL', '无线通讯']",12-18K·13薪,无锡真源科技有限公司,20-99人,无锡,新吴区
数据库运维工程师,本科,3-5年,"['Shell', 'MySQL', 'Oracle', 'DBA工作经验', 'MySQL数据库管理经验', '熟悉Linux/Unix系统', 'OCP']",8-13K·14薪,盛合晶微,1000-9999人,无锡,江阴市
python高级开发工程师,本科,3-5年,"['爬虫', '数据开发', 'Shell', 'MySQL', '全栈开发经验', '后端', '计算机相关专业', 'Python', '数学/统计相关专业']",15-25K,江苏华亦扬信息科技,0-20人,无锡,江阴市
linux运维工程师,本科,1-3年,"['系统运维', 'Docker', 'Kubernetes', 'Python/Shell', '计算机相关专业', '运维经验', '网络安全相关经验']",10-15K,九安数据,100-499人,无锡,滨湖区
嵌入式软件工程师,本科,3-5年,"['C', 'C语言', '示波器', '嵌入式/单片机开发经验', '软件测试', '嵌入式软件开发', '英语读写能力良好', '驱动开发']",11-20K·14薪,凌思科技,20-99人,无锡,新吴区
c++,本科,3-5年,"['C++', 'QT']",20-25K·14薪,某大型机械设备公司,500-999人,无锡,
深度学习算法工程师,本科,1-3年,"['PyTorch', 'C语言', '人工智能', '视觉图像算法', 'Caffe', '深度学习算法', 'Python', 'TensorFlow']",12-20K·14薪,赛默斐视,20-99人,无锡,新吴区
IT工程师,本科,3-5年,"['Java', '宜搭低代码平台', 'Zoho系统二次开发', 'MySQL', 'SpringBoot', 'Oracle', '云计算平台', 'Python']",12-24K·13薪,壹阳能源,100-499人,无锡,新吴区
计算机二级培训讲师,本科,1-3年,"['C语言', 'Python', '计算机相关专业', '计算机等级', '二级计算机']",350-400元/天,宜兴上元教育,0-20人,无锡,宜兴市
AI产品经理（教育类）,本科,1-3年,"['机器学习类AI', 'AI机器人']",13-18K,无锡中育智慧数字技术,20-99人,无锡,惠山区
少儿编程老师,大专,1-3年,"['python', 'scratch', '图形化编程', '教育培训', '机器人编程', '竞赛']",5-9K·13薪,上海优必杰,100-499人,无锡,滨湖区
后端开发工程师,大专,1-3年,"['Python', 'CSS', 'HTML']",8-10K,江苏特设,0-20人,无锡,滨湖区
上位机软件工程师,本科,3-5年,"['C#', 'Python', '系统架构设计经验']",15-20K·13薪,捷视,20-99人,无锡,锡山区
核价专员,本科,1-3年,"['制造业', '锻造']",8-13K·13薪,派克新材,1000-9999人,无锡,滨湖区
交付工程师,本科,1-3年,"['LINUX', 'python', 'Java', 'k3s']",6-11K·13薪,悠派,500-999人,无锡,滨湖区
后端开发工程师,本科,3-5年,"['Java', 'Hibernate', '分布式经验', 'SpringCloud', 'SpringBoot', 'Spring', '大数据经验', 'GIT', 'Docker', '微服务经验', 'Linux', 'MySQL', '微服务架构', '人工智能', 'Oracle']",11-18K,扬铭科技,100-499人,无锡,滨湖区
人工智能研发工程师,硕士,在校/应届,['Python'],8-12K,中船奥蓝托,100-499人,无锡,滨湖区
可视化交互设计师,大专,1-3年,"['Sketch', '大厂经验', '编程能力', '了解各平台设计规范', '交互设计', '视觉设计', '原型设计', '客户端', '移动端', '网页端', '交互应用']",8-12K,升冉影视,20-99人,无锡,滨湖区
IT技术经理/远程办公,本科,10年以上,"['互联网/AI', 'PHP', '前端', '后端', 'laravel']",13-20K,易新网络,20-99人,无锡,梁溪区
机器人调试工程师,本科,3-5年,"['性能测试', '自动化测试', '嵌入式测试', 'Python', '计算机相关专业', '测试工作经验', '通信相关专业', '嵌入式测试']",8-13K,星微科技,20-99人,无锡,新吴区
rpa工程师,大专,1-3年,"['Python', 'Java', 'C++', 'Django', 'Flask', 'Tornado', 'Scrapy', 'MySQL', 'Redis', 'Oracle', 'MongoDB', '架构设计经验', '爬虫经验', '机器学习经验']",5-8K,雄则贸易有限公司,20-99人,无锡,
大数据开发工程师,本科,经验不限,"['要求数据开发经验', '数据平台开发经验', '数据仓库开发经验', 'Kafka', 'Spark', '实时数仓开发经验', '数据建模经验', '非外包类', 'Java', 'Python']",18-25K,台铃科技,1000-9999人,无锡,锡山区
PLC工程师,本科,3-5年,[],15-25K,大族机器人,100-499人,无锡,新吴区
视觉工程师,本科,3-5年,"['C/C++', '机器学习', '图像算法', '深度学习', '算法工程化经验', '大模型算法', '强化学习', 'Python']",12-24K,江苏精益,20-99人,无锡,滨湖区
网络测试工程师,本科,3-5年,['测试'],18-28K·15薪,DapuStor,100-499人,无锡,
Linux C软件工程师,本科,1-3年,"['Linux', 'C/C++', '系统开发', '内核', '驱动开发', '嵌入式技术', '软件工程师']",10-15K,上海君众,20-99人,无锡,滨湖区
工艺工程师,本科,在校/应届,['校招'],面议,施耐德电气,10000人以上,无锡,
少儿编程老师,本科,在校/应届,"['C++', 'Scratch', '编程', '信奥']",8-13K,斯蒂姆教育,20-99人,无锡,滨湖区
交付工程师,本科,1-3年,[],9-14K·13薪,明扬新能源,20-99人,无锡,
雷达系统/软件工程师,本科,经验不限,"['C++', '雷达信号处理', '雷达回波信号', '脉冲、相控阵雷达', '雷达算法']",9-14K,博远装备,100-499人,无锡,新吴区
编程课程管理员,学历不限,,"['Python', '计算机相关专业']",100-120元/天,江苏五正信息科技,20-99人,无锡,惠山区
AI开发工程师,本科,1-3年,"['Python', 'Kafka', 'Django', 'Redis', 'Linux开发/部署经验', '机器学习经验']",7-12K,无锡明见科技有限公司,20-99人,无锡,梁溪区
数据工程师（AI方向）,本科,3-5年,"['Java', '计算机相关专业', '数学/统计相关专业', '大数据处理经验', '机器学习经验']",15-18K,上海辑视品牌管理,20-99人,无锡,梁溪区
上位机软件工程师,本科,3-5年,"['C#', 'C++', 'C#开发经验', '国内院校优先', '系统架构设计经验']",14-18K·13薪,环亚微电子,20-99人,无锡,新吴区
软件开发,学历不限,3-5年,"['Python', 'MySQL']",12-20K,众豪,20-99人,无锡,江阴市
数据开发工程师,大专,3-5年,"['要求数据开发经验', '数据平台开发经验', '数据仓库开发经验', '大数据引擎开发经验', '数据库内核开发经验', 'Spark', 'Hive', 'Flink', 'HBase', 'MySQL/SQL Server', 'Spark原理/源码', 'Flink原理/源码', 'Java', 'Python', 'SQL', 'Shell', 'Scala', 'BI报表开发经验', 'ETL开发经验', '实时数仓开发经验', '数据治理经验', '数据建模经验', '非外包类', 'MySQL原理/源码', 'PostgreSQL原理/源码', 'Oracle原理/源码', 'FineReport', 'Tableau', 'ETL', 'Hadoop']",8-13K,亦仁科技,20-99人,无锡,
直播投流,大专,1-3年,[],10-15K,不求器全,20-99人,无锡,宜兴市
人工智能技术经理,本科,3-5年,"['互联网/AI', '技术经理']",15-20K,江苏税软软件科技...,100-499人,无锡,新吴区
机器人教师,本科,经验不限,"['线下教育', '小班教学（3-25人）', '学前儿童/小学生', '中学生', '全职兼职均可', '坐班']",4-9K·13薪,斯迪姆科技培训(...,20-99人,无锡,新吴区
iOS开发（SwiftUI 技术栈）工程师,本科,10年以上,"['技术方案规划', '架构设计', '功能开发', '性能优化', '技术升级', 'Swift', '计算机/软件工程相关专业', '通信相关专业', '大型项目开发经验', '独立开发且上线经验', '全栈开发经验']",11-22K,五楼信息,0-20人,无锡,新吴区
算法工程师（智能场站）(J21251),本科,3-5年,"['大模型算法', '工业/缺陷检测', 'Python', '团队管理经验', '参加算法相关竞赛/获奖', '优秀开源项目经历', '风电场', '光伏', '变电站', '智能巡检']",18-26K,金风科技,1000-9999人,无锡,新吴区
labview软件工程师,本科,3-5年,['软件开发经验'],15-22K·14薪,有芯智能,20-99人,无锡,新吴区
python青少儿编程老师,本科,3-5年,"['Python', 'C++', 'C', 'Numpy', 'Kubernetes', 'Selenium', 'MySQL', 'MongoDB', '架构设计经验', '爬虫经验', '机器学习经验']",5-6K,翰源体育发展,0-20人,无锡,惠山区
少儿编程讲师,大专,经验不限,"['C/C++', '爬虫经验', 'C++', '机器学习/算法工程', 'JavaScript', 'Python']",5-10K,粒方体培训,0-20人,无锡,江阴市
NLP/CV算法工程师,本科,经验不限,"['机器学习', '大模型算法', '图像算法', 'C/C++', 'Python', 'Java', '算法工程化经验']",15-25K,无锡晨计教育科技,0-20人,无锡,新吴区
Golang,本科,1-3年,"['Golang', 'C语言', 'C++', '软件工程师', '后端开发']",9-14K,无锡恒鼎超算,100-499人,无锡,滨湖区
软件工程师,本科,3-5年,"['Python', 'Golang', 'SpringCloud', 'MyBatis', 'Kafka', 'Dubbo', 'Oracle', 'MongoDB', '团队管理经验', '大数据经验', '搜索/推荐/广告经验', '分布式经验', '不接受居家办公']",6-10K,感图网络科技,100-499人,无锡,梁溪区
医疗数据工程师,本科,3-5年,['Python'],12-20K·14薪,紫荆智康,0-20人,无锡,滨湖区
基金经理,本科,5-10年,[],15-16K,青岛展鹏私募基金管理,0-20人,无锡,滨湖区
漏洞研究员,本科,1-3年,['C/C++'],10-15K,深网科技,20-99人,无锡,新吴区
储能电气工程师,本科,1-3年,[],13-15K,萨科特,100-499人,无锡,锡山区
可靠性工程师,本科,3-5年,"['半导体', '集成电路']",15-20K·13薪,拓易科技,20-99人,无锡,新吴区
C#,本科,5-10年,"['C#', 'C#开发经验', '多线程', '面向对象编程', 'WPF', '系统架构设计经验']",15-25K,无锡亘芯悦科技,20-99人,无锡,新吴区
软件工程师,本科,3-5年,"['C/C++', '计算机相关专业']",15-20K,无锡索威电气科技,20-99人,无锡,新吴区
技术专家,本科,5-10年,"['Java', '数据结构', 'Python']",15-25K,无锡创亿数据科技,0-20人,无锡,滨湖区
人形机器人工程师（应届生欢迎）,本科,经验不限,"['机器人', 'C++', 'ROS']",11-20K·14薪,无锡优奇智能,100-499人,无锡,滨湖区
高级大数据开发工程师,本科,3-5年,"['Kafka', 'Flink', 'Kettle', 'ETL开发经验', '数仓建设经验', '大数据开发经验']",18-25K·13薪,台铃科技信息科技中心,1000-9999人,无锡,锡山区
运营专家,本科,3-5年,"['社群搭建与维护', '用户画像与分层']",16-30K,某大型能源科技领域计算机软件上市公司（江苏）,1000-9999人,无锡,
资深测试工程师,本科,5-10年,[],15-25K,研微半导体,100-499人,无锡,滨湖区
测试工程师,本科,3-5年,['测试工程师'],16-30K,ITL,100-499人,无锡,滨湖区
nlp工程师,本科,1-3年,"['Java', '搜索算法', '对话系统', '大模型算法', '算法工程化经验', '知识图谱', '文本生成', '优秀开源项目经历', 'C/C++', '机器学习', '摘要生成', 'Python', '模型加速/性能优化']",12-20K·15薪,灵鸽机械,100-499人,无锡,新吴区
系统运维工程师,本科,1-3年,"['系统运维', '计算机相关专业', 'python', 'go']",5-8K,海斯凯尔,100-499人,无锡,新吴区
高级架构师+双休+10-15k,本科,1-3年,"['Java', 'Python', '微服务架构', '服务器配置', '分布式技术', 'Spring', 'Dubbo']",10-15K,无锡织数互联科技,20-99人,无锡,江阴市
制冷测试工程师,大专,3-5年,"['空调', '性能测试', '制冷设备']",8-13K,无锡冠亚恒温制冷,100-499人,无锡,锡山区
bms软件工程师,大专,1-3年,"['不限', 'C', 'C++', 'Python', '计算机相关专业', '通信相关专业', '嵌入式/单片机开发经验']",15-25K·13薪,无锡恒悉电子科技,20-99人,无锡,滨湖区
测试工程师（硬件）,本科,5-10年,"['智能硬件类', '硬件测试经验']",10-15K,云工场科技,100-499人,无锡,新吴区
运维工程师,本科,5-10年,"['运维经验', '运维开发经验', '网络安全相关经验']",15-20K·14薪,尚唯斯,100-499人,无锡,新吴区
后端开发人员,本科,3-5年,"['Python', 'Java', 'PHP', 'Django', 'Nginx', 'MySQL', 'MongoDB', 'PostgreSQL']",15-16K,海推数据,20-99人,无锡,滨湖区
软件开发工程师,本科,3-5年,[],10-15K,弘焕,0-20人,无锡,宜兴市
跨境电商数据分析师,本科,3-5年,"['Python', 'SQL', 'Power BI', '数学/统计相关专业', '电商/零售行业数据相关经验']",12-20K,微珑科技无锡有限公司,20-99人,无锡,新吴区
工业物联网开发工程师,本科,5-10年,"['Python', 'Golang', 'Java', 'PyTorch', 'MySQL', '工业物联网', '数据建模', '面对对象编程']",25-50K·16薪,某大型新能源公司,500-999人,无锡,
工业机器人行业 算法QA  18K起  公积金12%,本科,3-5年,"['自动化测试经验', '测试工作经验', '自动化测试', '性能测试', '功能测试', '嵌入式测试', '计算机相关专业', '软件开发经验']",18-24K·14薪,江苏格罗瑞节能科技,20-99人,无锡,梁溪区
算子测试开发工程师,本科,3-5年,"['C++', '自动化测试', '性能测试', '功能测试']",18-25K·15薪,太初,100-499人,无锡,滨湖区
软件测试工程师,大专,3-5年,"['自动化测试', '软件测试', '测试开发', 'web端测试', '移动端测试', 'APP测试', 'Python', 'Java']",10-15K,纳新科技,20-99人,无锡,梁溪区
安全服务工程师,本科,1-3年,[],8-12K,晶安智慧,20-99人,无锡,锡山区
测试工程师,本科,1-3年,"['Java', '接受实习/在校生投递', 'C++', '测试工作经验', '性能测试', 'Fiddler', '功能测试', '计算机相关专业', '掌握软件测试理论和流程']",10-15K,佰倬信息科技,20-99人,无锡,滨湖区
Linux嵌入式工程师,本科,1-3年,"['C++', 'C', '嵌入式/单片机开发经验', 'linux', '计算机相关专业', '英语读写能力良好', 'Python']",9-13K,欧慧能源,20-99人,无锡,新吴区
少儿编程老师,大专,经验不限,"['wedo', 'python', 'scratch', '乐高', '机器人']",3-8K,新吴区思动益智培...,0-20人,无锡,新吴区
市场分析专员,本科,1-3年,[],10-15K,弘元绿色能源,1000-9999人,无锡,滨湖区
PDK开发（PEX方向）,本科,1-3年,"['电路设计', 'PE X（寄生参数提取）', 'Perl', 'Python']",13-25K·16薪,无锡北京大学电子...,20-99人,无锡,新吴区
自动化测试工程师,本科,3-5年,"['UiAutomator', 'Appium', 'Python']",8-13K,永中软件,500-999人,无锡,新吴区
嵌入式开发测试工程师,本科,3-5年,[],10-15K·14薪,无锡融卡科技有限公司,20-99人,无锡,新吴区
储备教学主管,本科,1-3年,"['培训机构', '线上教育', '学前儿童/小学生', '中学生', '教育工作经验', '普通话发音标准', '大型教育机构经验', '销售经验']",6-11K,星维度文化,20-99人,无锡,梁溪区
C++软件开发工程师,本科,3-5年,"['Qt项目开发经验', 'Shell', 'Cmake', 'QT', 'Linux', '多线程', 'STL']",11-20K·14薪,鸣石峻致,20-99人,无锡,新吴区
研发工程师,本科,经验不限,"['Java', 'Spring', 'MyBatis', 'Hibernate', 'Docker', 'Tomcat', 'MySQL', 'Redis', 'Oracle', 'MongoDB', 'SQL Server', '分布式经验', '架构设计经验', '物联网经验', '云计算经验', '不接受居家办公', '接受实习/在校生投递']",8-13K,江苏中科惠软,100-499人,无锡,锡山区
软件开发工程师,本科,3-5年,"['C++', '嵌入式软件经验', '计算机相关专业', 'Python']",15-30K·13薪,清华大学,1000-9999人,无锡,滨湖区
中级测试工程师,本科,3-5年,['性能测试'],10-14K·15薪,百望股份,1000-9999人,无锡,惠山区
软件测试,本科,3-5年,"['Java', 'Python']",10-15K·13薪,上海煜麦网络科技,100-499人,无锡,新吴区
测试工程师,本科,1-3年,"['功能测试', '性能测试', '自动化测试', '嵌入式测试', 'Linux']",8-11K,中诚华隆,20-99人,无锡,新吴区
Java高级工程师（AI研发）,大专,5-10年,"['Java', 'Spring', 'Redis', '保险', 'AI', '大模型', 'Dify', 'RAG']",10-13K,中科软,10000人以上,无锡,梁溪区
软件开发工程师（Python）,本科,1-3年,"['软件工程师', 'Python']",4-7K,无锡英赛软件有限公司,0-20人,无锡,新吴区
乐高机器人老师,大专,经验不限,"['Linux', '少儿Python教学']",4-9K,启航教育,0-20人,无锡,新吴区
开发工程师,本科,经验不限,['Python'],10-11K,滨湖启慧明心咨询...,0-20人,无锡,滨湖区
前端开发工程师,本科,3-5年,"['前端开发经验', '计算机/软件工程相关专业']",11-16K,创想猫,20-99人,无锡,梁溪区
客户关系经理,本科,经验不限,[],15-25K,无锡某小型智能硬件公司,20-99人,无锡,
数据开发工程师,本科,3-5年,"['要求数据开发经验', '数据平台开发经验', 'Oracle', 'SQL', '计算机相关专业', '非外包类']",9-14K,隆盛科技,1000-9999人,无锡,新吴区
嵌入式工程师,本科,1-3年,"['通信相关专业', '嵌入式硬件开发', '硬件', 'C语言', '嵌入式/单片机开发经验', '单片机开发', '嵌入式软件开发', 'PCB设计', '电气电气/自动化相关专业', '物联网', '嵌入式技术']",12-18K,地心引力,0-20人,无锡,滨湖区
研发软件工程师,本科,3-5年,"['C++', 'Python', 'C', 'RTOS', '电动工具', '伺服电机', '嵌入式系统']",10-15K·13薪,无锡贝斯特尔自动...,20-99人,无锡,新吴区
市场解决方案经理,本科,3-5年,[],15-20K,天奇股份,1000-9999人,无锡,惠山区
大模型开发工程师,本科,1-3年,"['大模型算法', '自然语言处理算法', '模型加速/性能优化', 'Python', '算法工程化经验', '发表算法相关优秀论文', '参加算法相关竞赛/获奖', 'NLP', 'Langchain', '大模型微调', '知识库', 'RAG']",10-15K·15薪,深圳市大数据研究...,0-20人,无锡,滨湖区
研发工程师,本科,5-10年,"['粉末涂料', '配方开发', '成本控制', '英语可作为工作语言']",15-20K,埃梯梯,500-999人,无锡,新吴区
Java技术支持工程师（兼系统运维）,本科,1-3年,"['Java', 'Python', 'JVM', 'SpringCloud', 'Docker', 'Spring', 'MySQL', 'Oracle']",7-12K,中物云,0-20人,无锡,滨湖区
cae算法,本科,经验不限,['cae'],40-70K·15薪,深圳某中型计算机软件公司,100-499人,无锡,
资深测试工程师,本科,5-10年,[],12-16K,领健Linkedcare  ,1000-9999人,无锡,梁溪区
隐马尔可夫模型开发工程师,硕士,,['Python'],150-160元/天,源和聚,0-20人,无锡,梁溪区
程序员,大专,1-3年,"['Python', 'JavaScript', 'CSS', 'HTML', 'SQL']",4-8K,苏垣企服,20-99人,无锡,惠山区
python工程师,大专,3-5年,"['Golang', '爬虫经验', 'PyTorch', 'PHP', '大模型', 'Python']",7-12K·13薪,灵匠科技,500-999人,徐州,泉山区
程序员,学历不限,经验不限,"['Node.js开发经验', '服务端开发经验', 'Vue/Angular/React', '全栈', 'Node.js', '前端开发经验', 'Python']",15-16K·13薪,欧汇科技,0-20人,徐州,鼓楼区
python开发工程师,大专,1-3年,"['Python', 'Numpy', 'Pandas', 'MySQL']",5-10K,主合教育,20-99人,徐州,云龙区
兼职Python开发工程师（在家办公）,学历不限,经验不限,"['Python', 'Scrapy', 'Numpy', 'Pandas', 'Docker', 'Nginx', 'MySQL', 'Redis', '架构设计经验', '分布式经验', '爬虫经验', '机器学习经验', '量化交易开发经验', '兼职开发工程师', '兼职python', '区块链开发', '量化交易', '自动交易机器人']",3500-5500元/月,徐州赚客,20-99人,徐州,泉山区
电商数据分析师,本科,经验不限,"['数据分析/挖掘经验', '计算机相关专业', 'Python', '数学/统计相关专业']",4-8K,徐州元兴科技有限公司,100-499人,徐州,云龙区
上位机软件开发工程师C#,学历不限,经验不限,"['C#', 'ASP.NET', 'C#开发经验']",6-10K,上海蜂窝软件科技,20-99人,徐州,泉山区
Python,学历不限,经验不限,"['Python', 'Golang', 'Java', 'Django', 'Flask', 'Tornado', 'MySQL', 'Oracle', 'MongoDB', '团队管理经验', '架构设计经验', 'Linux开发/部署经验']",10-11K,金骏脑商贸,0-20人,徐州,鼓楼区
神经科学,硕士,1-3年,"['机器学习', '图像算法', '大模型算法', '算法工程化经验', 'MATLAB', 'Python']",12-20K,徐州翔展文教科技,100-499人,徐州,泉山区
软件工程师,本科,1-3年,"['C++', 'Python', '通信相关专业', '电气电气/自动化相关专业', '嵌入式/单片机开发经验', '英语读写能力良好']",8-12K·14薪,江苏云意电气股份...,1000-9999人,徐州,
python实习生,本科,,"['Nginx', 'PyTorch', 'Docker', 'MySQL', '机器学习经验', 'Linux开发/部署经验', 'Python', '徐州本地']",50-100元/天,徐州星汉网络科技,0-20人,徐州,云龙区
Python,学历不限,1年以内,"['Python', 'Django', 'Docker', '其他', 'MySQL', 'Redis', '其他']",70-600元/时,德邻科技,0-20人,徐州,云龙区
感知工程师 (环境感知与地图定位系统开发）,硕士,3-5年,"['深度学习', '大模型算法', '图像算法', 'C/C++', '算法工程化经验', '自动驾驶', '智能驾驶', '无人驾驶', '激光', '雷达']",20-40K·14薪,徐工,1000-9999人,徐州,贾汪区
测试工程师-徐州,本科,5-10年,"['Java', '自动化测试', 'Python']",6-10K,数字盛世云图,100-499人,徐州,
高级数据分析师,本科,1-3年,"['Python', 'SQL', '数据分析/挖掘经验', '金融行业数据相关经验']",6-8K,非凸徐州,20-99人,徐州,云龙区
python工程师,大专,1-3年,"['Python', 'Django', 'MySQL']",6-11K,智火,20-99人,徐州,云龙区
AI大模型建模师,硕士,,[],150-200元/天,徐州元峰医药,20-99人,徐州,泉山区
Python,大专,经验不限,['Python'],4-5K,睿迪教育科技,20-99人,徐州,
计算机老师,本科,1-3年,"['c++', 'python', 'scratch', '编程', '计算机', '少儿编程', 'java']",8-12K,科睿特,10000人以上,徐州,
上位机研发工程师,本科,10年以上,"['C#', 'C#开发经验', 'MySQL', 'SQL Server']",15-20K·13薪,广识电气,100-499人,徐州,铜山区
AI技术总监,硕士,5-10年,['互联网/AI'],15-25K,幻威动力,20-99人,徐州,铜山区
python高级开发工程师,本科,5-10年,"['知识图谱', '机器翻译', '摘要生成', 'Python', '大数据处理工具(Spark/Hadoop/Hive)', '机器学习', '深度学习', '大模型算法', '算法工程化经验', '优秀开源项目经历', '模型加速/性能优化']",12-18K,北京畅想之星信息技术,20-99人,徐州,泉山区
硬件/产品工程师（光电传感、光电仪表）,本科,经验不限,"['光电传感', '光电仪表', '非成像光学设计仿真', '信号处理', '光学系统设计']",20-35K,上海某小型半导体/芯片公司,20-99人,徐州,
Python,大专,1-3年,"['Python', 'Node.js', '后端开发', '多线程', '多进程', '消息队列', '网络编程', '算法基础']",5-8K·13薪,江苏文旭,100-499人,徐州,云龙区
算法工程师,本科,3-5年,"['Java', '规控算法', '运筹优化算法', '深度学习', '大模型算法', '多模态算法', '算法工程化经验', 'MATLAB', '并行计算', 'C/C++', '机器学习', '强化学习', 'Python']",18-28K,徐工汉云,100-499人,徐州,贾汪区
Python后端开发工程师,大专,3-5年,"['Python', 'Django', 'MySQL', 'Redis', 'Linux开发/部署经验', 'Django', '小程序开发', '后端']",6-11K,睿祐信息科技,20-99人,徐州,
后端开发工程师,学历不限,5-10年,"['Golang', 'C#', 'PHP', 'Python', 'Java', 'MySQL', 'Redis', '运维开发经验']",8-12K,徐州积木电子科技,0-20人,徐州,铜山区
python开发工程师,大专,,"['Python', 'Django', 'Flask', 'Docker', 'Nginx', 'MySQL', 'Redis', 'MongoDB', 'Linux开发/部署经验', '微服务经验', '爬虫经验']",80-100元/天,灵策科技,20-99人,徐州,泉山区
感知算法,硕士,3-5年,"['Python', 'C/C++', 'L2/L3智能驾驶功能开发经验']",20-35K,某大型重工业公司,1000-9999人,徐州,
【deepseek】人事专员（短视频行业优先）,学历不限,经验不限,[],4-8K,三米芳香,0-20人,徐州,鼓楼区
3D打印软件开发工程师,本科,3-5年,"['C#', 'C++', '计算机相关专业', 'C#开发经验', '.NET开发经验']",12-20K,中航迈特,100-499人,徐州,贾汪区
在家兼职数据分析师spss.stata.python等,本科,经验不限,"['Python', 'R', 'SPSS', '数学/统计相关专业', '计算机相关专业', '数据分析/挖掘经验']",20-100元/时,大神网络科技,1000-9999人,徐州,云龙区
诚聘数据分析建模岗-银行方向,本科,5-10年,"['Python', '数据挖掘', '机器学习算法']",20-40K,佩米网络科技,0-20人,徐州,
渗透测试,大专,1-3年,[],3-6K,云天网络安全,20-99人,徐州,泉山区
Python,学历不限,经验不限,"['Python', 'Django', 'MySQL', 'PostgreSQL', '团队管理经验']",4-8K·13薪,徐州肆筑信息科技,20-99人,徐州,泉山区
python自然语言处理,本科,3-5年,"['情感分析', '对话系统', '推荐算法', 'Python', 'Java', 'C/C++', '深度学习', '大模型算法']",8-12K,江苏闪信信息科技,20-99人,徐州,泉山区
python爬虫,本科,1-3年,['爬虫'],25-30元/时,嘉畅,0-20人,徐州,云龙区
感知算法工程师02,硕士,3-5年,"['图像算法', '深度学习', 'SLAM算法', 'Python']",15-30K,徐工研究院,500-999人,徐州,贾汪区
