职位,学历,经验,技能列表,年薪,公司,公司规模,城市,区域
医学三维成像软件及3D打印工程师,本科,在校/应届,"['深度学习', '人像算法', '三维重建', '点云算法', 'Python', '图像处理库（OpenCV等）', '优秀开源项目经历']",66,比特博,微型企业,南通,
Java开发工程师,大专,1-3年,"['Java', 'Python', 'Shell', '分布式技术', '多线程', '微服务架构', '搜索引擎技术', '容器技术']",126,江苏布罗,小型企业,南通,启东市
游戏测试工程师,本科,1-3年,"['手游测试经验', '计算机相关专业']",84,七和互联网络科技,小型企业,南通,如皋市
脚本开发工程师,本科,经验不限,"['Go', 'C++', 'lua', '脚本开发']",104,上海翌旭网络科技,中型企业,南通,崇川区
软件工程师（后端）,本科,1-3年,"['.NET', 'Python', 'MySQL/SQL Server/Oracle', '计算机相关专业', '.NET开发经验', '大数据分析']",208,尚维斯环境科技,中型企业,南通,
技术开发工程师,本科,1-3年,['Python'],90,南京叁陆电力科技,微型企业,南通,
乐高机器人编程老师,本科,3-5年,"['线下教育', '坐班', '小班教学（3-25人）', '学前儿童/小学生', '熟练掌握计算机语言', '玩教具制作', '理工科教育背景', '销售经验', '全职']",78,如皋市格致科技培...,微型企业,南通,如皋市
数据要素专家,硕士,5-10年,"['数据安全', '数据治理', '数据建模', '数据要素']",480,中天互联,中型企业,南通,崇川区
运维工程师,大专,5-10年,"['Python', 'Shell', '搜索引擎技术', '容器技术', '分布式技术', '网络协议', 'Linux', 'NoSQL']",210,四川准达,大型企业,南通,如东县
编程老师,大专,1-3年,"['教育学专业背景', '教师', '大型教育机构经验', '坐班', '小班教学（3-25人）', '培训机构', 'STEAM', '线下教育', '编程', '普通话发音标准']",72,南通开发区思达科...,微型企业,南通,崇川区
web前端开发工程师,本科,1-3年,"['HTML', '前端开发', 'Linux', 'Three.js', 'NoSQL', 'Vue']",96,蓝策电子,微型企业,南通,崇川区
运维工程师,大专,3-5年,"['系统运维', '安全运维', 'Python', '容器技术', '分布式技术', 'Nginx', 'Tomcat', '数据库运维']",90,江苏星云网格,小型企业,南通,
三维绑定师,大专,1-3年,"['动画动漫', '卡通风格', 'MAYA', '3D设计']",66,今视,小型企业,南通,崇川区
IT工程师,本科,1-3年,"['网络运维', 'Java', 'Python']",84,华祥医药,中型企业,南通,崇川区
rpa开发工程师,大专,3-5年,"['Python', 'RPA开发工具']",90,菁炽网络科技,微型企业,南通,启东市
中级算法工程师,硕士,1-3年,"['深度学习', '大模型算法', '图像算法', '模型加速/性能优化', 'Python', '算法工程化经验']",126,江苏中桥,小型企业,南通,
技术总监,博士,3-5年,"['电子/通信/半导体', '生产机理模型研究', '大数据、大模型应用']",480,某大型已上市通信/网络设备公司,超大型企业,南通,
价格管理(A78339),本科,5-10年,"['竞品分析', '财务/审计工作经验', '统计/数学相关专业', '核价', '定价', '成本分析']",245,沃太能源股份有限公司,大型企业,南通,
WFM高级主管-调控方向,本科,3-5年,[],175,去哪儿网,大型企业,南通,
项目经理/主管,本科,3-5年,"['企业内部技术项目管理', '管理相关专业', '大数据项目管理经验', 'ERP项目管理经验', '系统集成项目管理工程师', '信息系统项目管理师', 'Ai部项目经理']",270,娅朵星辰纺织品科技,小型企业,南通,通州区
电子工程师,本科,1年以内,"['CAD', 'Python', '电子工艺工程师', 'SolidWorks', '电子半导体', '消费电子']",90,通富微电,大型企业,南通,
产品研发-G8427U,硕士,3-5年,"['微电网', '需求分析', '风险评估', '电力系统', '智能电网']",330,泽宇智能,中大型企业,南通,
运维工程师,本科,1-3年,"['系统运维', 'Python/Shell', '计算机相关专业', '通信相关专业', '运维经验']",108,三友盛泰,微型企业,南通,
软件测试工程师,本科,3-5年,"['功能测试', '性能测试', '自动化测试']",315,某大型汽车零部件公司,超大型企业,南通,
教育类人工智能专利产品主理人（南通含市县,学历不限,经验不限,"['课程运营', '校区运营', '门店运营']",240,共研,微型企业,南通,
嵌入式软件工程师,本科,3-5年,"['C/C++', 'Linux', 'Python']",126,时间环三维,小型企业,南通,崇川区
乐高，编程老师,本科,经验不限,"['全职', '线下教育', '小班教学（3-25人）', '中学生', '学前儿童/小学生', '熟练掌握计算机语言']",72,南通汉诺威文化传...,微型企业,南通,崇川区
实施顾问,本科,1-3年,"['ERP', '计算机相关专业', '财务相关专业', '熟练掌握SQL语句', '可适应出差']",78,奥陆奇,微型企业,南通,
超声波回波信号处理工程师,本科,1-3年,"['Java', 'C/C++', '机器学习', '规控算法', '运筹优化算法', '深度学习', '算法工程化经验', 'MATLAB', '模型加速/性能优化', 'Python']",390,南通塔西连接科技,微型企业,南通,
智能产品应用工程师,本科,3-5年,[],150,林德曼,中型企业,南通,
技术部经理,本科,5-10年,"['信息化', '通信', '自动化', '技术管理']",108,小攀数据,微型企业,南通,
物联网测试工程师,本科,1-3年,"['C++', '通信相关专业', '性能测试', '功能测试', '嵌入式测试', '计算机相关专业', 'Python']",96,同成网络科技,小型企业,南通,
技术支持工程师,大专,经验不限,['售前/售后技术支持'],60,江苏泰极,小型企业,南通,
新型电力系统保护和控制算法,硕士,3-5年,"['C/C++', 'Python', '微电网']",420,北京畅泳恒翔企业...,中型企业,南通,
CAE工程师,硕士,1-3年,[],150,谦维科技,小型企业,南通,通州区
编程老师,大专,经验不限,"['C++', 'Python']",108,南通芮星教育,小型企业,南通,崇川区
python全栈工程师,大专,1-3年,"['后端', 'Python', 'Django', 'MySQL', '全栈开发经验']",97,盒木科技,微型企业,南通,崇川区
运维专员,大专,5-10年,['网络运维'],114,海江信息科技有限公司,大型企业,南通,
周末双休 网络安全工程师,本科,1-3年,"['安全运维和保障', '安全体系架构和研发', 'Python', 'Java', 'PHP', '计算机/信息安全相关专业']",246,某大型互联网金融上市公司,大型企业,南通,
全栈工程师,本科,5-10年,"['全栈侧重后端', '全栈无侧重', 'Python', 'Django/Flask', '计算机相关专业', '全栈项目经验', '后端开发经验', 'Vue']",192,星商创新,大型企业,南通,崇川区
PHP开发工程师（可实习）,本科,经验不限,"['php工程师', '程序员', 'php软件开发工程师', 'php开发程序员', 'PHP', '软件工程师']",54,鑫云软件,小型企业,南通,
渗透测试工程师,学历不限,1-3年,"['安全体系架构和研发', 'C#', 'C/C++', 'Python', '攻防对抗经验', '渗透测试经验', 'CISSP/CISP', '红队攻击', '渗透测试', '安全研究']",420,暗泉信息,小型企业,南通,崇川区
Python 全栈开发工程师,本科,1-3年,"['留学生优先', '国内院校优先', 'Python', 'Django', 'Docker', 'MySQL', 'Redis', 'MongoDB', '团队管理经验', '架构设计经验', 'Linux开发/部署经验', '爬虫经验', '运维开发经验']",114,南通谷玄科技,微型企业,南通,
