职位,学历,经验,技能列表,年薪,公司,公司规模,城市,区域
python Java vue小程序安卓app软件开发兼职,大专,经验不限,"['Java', 'Python', 'Spring', 'MySQL']",138,南京万迅,微型企业,南京,建邺区
python,本科,3-5年,"['Python', 'Flask', 'MySQL']",138,湖北特为,微型企业,南京,雨花台区
Python,本科,3-5年,"['深度学习', '大模型算法', '模型加速/性能优化', 'Python']",234,深圳微蚂蚁,中型企业,南京,浦口区
python（双休）,大专,1-3年,"['Metasploit', 'Django', '渗透测试', '网络安全', '源代码审计', 'Python', 'Flask']",132,绿和,小型企业,南京,雨花台区
Python开发（接受小白 六险一金）,本科,经验不限,"['后端', '数据开发', 'Python', 'C/C++', 'Shell', '计算机相关专业', '爬虫经验']",480,某大型互联网公司,超大型企业,南京,
Python开发/大数据开发,本科,经验不限,"['Python', 'PyTorch', 'MySQL']",315,华为云计算,超大型企业,南京,雨花台区
python工程师,大专,1-3年,"['Java', 'PyTorch', 'PostgreSQL', 'Pandas', 'MySQL', 'MongoDB', 'Numpy', 'Python', 'TensorFlow']",78,南京捷物,小型企业,南京,建邺区
python,本科,3-5年,"['Python', 'Django']",162,嘻码科技(北京),中型企业,南京,建邺区
python开发工程师,本科,1-3年,"['爬虫经验', 'Pandas', 'MySQL', 'MongoDB', 'Numpy', 'Python']",136,优泰科技,小型企业,南京,建邺区
Python开发工程师 国企稳定 团队氛围好,本科,1-3年,"['Python', 'Pandas', 'Django', 'Flask', 'MySQL', 'Linux开发/部署经验', '国企稳定 氛围好']",270,某大型保险公司（江苏）,超大型企业,南京,
Python开发工程师（急招、线上面试）,本科,3-5年,"['Python', 'Docker', 'Flask', 'Django', 'MySQL']",144,上海思芮,大型企业,南京,雨花台区
Python现场面试（3-5年）,大专,3-5年,['Python'],138,博锐星润,中型企业,南京,鼓楼区
java，JS，python，C/C++ 软件开发工程师,本科,经验不限,"['Java', 'C++', 'C', 'QT', '分布式经验', 'PostgreSQL', '嵌入式软件经验', 'STL', 'MFC', 'JavaScript', 'MySQL', '架构设计经验', 'Linux开发/部署经验', '鸿蒙系统开发经验', 'Python']",480,华为,超大型企业,南京,雨花台区
软件测试 或 开发工程师（Java/Python/C++),本科,1-3年,"['Java', 'C', 'C++', 'Spring', 'MySQL', 'Redis']",224,西安英沃诺克信息技术,中型企业,南京,雨花台区
Python-统招本科-wb6wwa,大专,3-5年,"['fastapi', 'Django', 'MySQL', 'Redis', 'MongoDB', 'Python', 'Flask', 'Kubernetes']",132,版石控股集团有限公司,中型企业,南京,江宁区
软件测试（python,本科,1-3年,"['自动化测试', '功能测试', 'Python']",150,软通动力,超大型企业,南京,江宁区
python开发（福利好，加班双倍，线上面试）,本科,1-3年,"['C++', 'Scrapy', '分布式经验', '微服务经验', 'Django', '云计算经验', 'Spark']",114,拓维云创,大型企业,南京,雨花台区
央企正编-Python工程师,本科,1-3年,"['Python', 'Numpy', 'Pandas', 'Flask', 'Django', 'MySQL', 'Oracle', 'HBase', 'Linux开发/部署经验']",246,北京某大型互联网金融上市公司,大型企业,南京,
python算法工程师（外包国睿科技）,本科,3-5年,"['Python', 'Django', 'MySQL', '算法']",138,雀翼科技,中型企业,南京,江宁区
Python,本科,经验不限,"['Python', 'Django', 'MySQL', 'Redis', 'Oracle', '分布式经验', '微服务经验']",318,华为终端有限公司,超大型企业,南京,雨花台区
python开发工程师,本科,1-3年,"['Python', '爬虫经验', 'ai算法']",102,华通科技,中大型企业,南京,雨花台区
Python,本科,3-5年,"['python', 'Linux开发/部署经验', 'Python']",132,鑫燃科技,中型企业,南京,
Python（线上面试流程快）,本科,经验不限,"['Python', 'MySQL']",360,某500强上市公司,超大型企业,南京,
python爬虫,大专,经验不限,"['Python', 'Selenium', 'MySQL', '爬虫经验']",78,南京爱辉文化传媒...,小型企业,南京,玄武区
Python机器学习/深度学习开发技术员,本科,在校/应届,"['Python', 'Numpy', 'Pandas', 'PyTorch', 'TensorFlow', '其他', 'MySQL', '其他', '机器学习经验']",192,南京腾思网络科技,小型企业,南京,浦口区
Python-大模型-双休-短期2个月_wh3zyhx,大专,5-10年,"['Python', 'Kubernetes', 'Docker', 'Django']",138,版石软件(上海),微型企业,南京,
Python（13薪+全额公积金+双休）,大专,3-5年,"['C++', '爬虫经验', 'PyTorch', 'MySQL', 'python开发', 'Python']",175,中软国际科技,超大型企业,南京,雨花台区
后端开发Python为主,本科,经验不限,"['Docker', 'Django', 'PostgreSQL', 'MySQL', 'Python', 'Flask']",192,小冻梨智能,微型企业,南京,江宁区
Python,本科,经验不限,"['Python', '人工智能', '机器人', '智能驾驶']",123,福尔摩斯智能科技,小型企业,南京,江宁区
Python,本科,经验不限,['Python'],360,某知名互联网上市公司,大型企业,南京,
Python开发设计师,大专,经验不限,"['Python', 'Java', 'Kafka', 'TensorFlow', 'Redis', '架构设计经验']",221,今夜到家健康科技,小型企业,南京,鼓楼区
C/C++/java/python/web/算法/测试,本科,经验不限,"['Java', 'C++', 'C', 'Scrapy', 'Tornado', 'Flask', 'MySQL', 'Redis', 'Oracle']",315,西安华为技术有限公司,大型企业,南京,雨花台区
Python,本科,3-5年,"['爬虫经验', '微服务经验', 'Django', 'MySQL', 'Redis', 'MongoDB', '架构设计经验', 'Numpy', 'Python', 'Flask']",150,南京玻尔兹曼信息科技,微型企业,南京,浦口区
python高级开发工程师,本科,3-5年,"['Python', 'Django', 'Numpy', 'Flask', 'Pandas', 'MySQL', 'Oracle', 'Redis', 'Hadoop', 'Spark', '运维开发经验']",204,湖北科之锐教育科技,小型企业,南京,秦淮区
python开发工程师,本科,1-3年,"['Django', 'MySQL', 'AI', 'Python']",132,明月华炎,中型企业,南京,
Python,本科,3-5年,"['Python', 'Java', 'Docker', 'MySQL', 'Redis', 'Oracle', 'Linux开发/部署经验', '分布式经验', '爬虫经验']",126,慧诺科技,小型企业,南京,雨花台区
python开发工程师,本科,1-3年,"['Django', 'MySQL', 'Python', 'Flask']",162,中创书局,中型企业,南京,
理工科！python编程老师双休六险一金长期班,本科,经验不限,['Python'],114,核桃编程,大型企业,南京,
python开发工程师+外包+芜湖工作,本科,5-10年,"['Python', 'Django', 'Kafka', 'MySQL', 'MongoDB']",216,海通安恒,大型企业,南京,玄武区
Python 后端工程师,大专,1-3年,"['接受无数字后端工程师经验', 'python', 'java']",120,中数智美,小型企业,南京,
python开发工程师,本科,3-5年,"['Python', 'Django', 'Scrapy', 'Elasticsearch', 'Nginx', 'Pandas', 'Redis', 'PostgreSQL', 'Linux开发/部署经验', '分布式经验']",210,国投智能（南京）,中型企业,南京,雨花台区
Python/Perl后台开发工程师,本科,3-5年,"['软件工程师', 'python', 'perl']",196,中盈优创,大型企业,南京,建邺区
Python（AI工具）—电力外包+双休,本科,3-5年,"['Python', 'Java', 'Django', 'Flask', 'Kubernetes', 'Docker', 'PyTorch', 'MySQL', 'AI 工具 langchain', 'FastGPT、Dify', 'LLMOpS']",156,润和软件,超大型企业,南京,鼓楼区
python开发工程师,大专,1-3年,"['Golang', 'Django', 'Flask', 'MySQL', 'Redis', 'Python']",138,拾柴信息,中型企业,南京,浦口区
Python,本科,经验不限,"['PyTorch', 'MySQL', '机器学习经验', 'Redis', '其他', 'Oracle', 'Linux开发/部署经验', 'Python', 'TensorFlow', 'HBase']",143,中国电科28所,大型企业,南京,栖霞区
python数据开发工程师,学历不限,3-5年,"['flink', 'Pvthon', '爬虫经验', 'Scala', '大数据处理', '其他', 'Python']",204,落尘文学,小型企业,南京,雨花台区
python开发工程师,本科,3-5年,['Python'],180,艺赛旗,中型企业,南京,栖霞区
python开发工程师,本科,3-5年,"['Python', 'Django', 'Flask', 'Docker', 'Kubernetes', 'Nginx', 'Redis', 'PostgreSQL', '大模型', '智能体', 'Langchain']",192,中新赛克,大型企业,南京,雨花台区
Python开发,本科,3-5年,"['k8s', 'Python']",174,法本,超大型企业,南京,雨花台区
python开发,本科,3-5年,"['Django', 'MySQL', '架构设计经验', 'Python', 'Flask']",195,南京瑞玥科技有限公司,中型企业,南京,鼓楼区
人工智能 python,大专,3-5年,"['Python', '团队管理经验', '有没有会人工智能 python的啊']",132,翀之羽,小型企业,南京,浦口区
Python,本科,1-3年,"['Golang', 'Scrapy', '分布式经验', 'PostgreSQL', '机器学习经验', 'Redis', '爬虫经验', 'Elasticsearch', 'MySQL', 'Pandas', '运维开发经验', 'MongoDB', 'Selenium', 'Linux开发/部署经验', 'Flask', 'Python']",150,兔酱,中型企业,南京,江宁区
人工智能Python后端开发工程师,本科,3-5年,"['Docker', 'Django', 'Pandas', 'MySQL', 'Redis', 'Numpy', 'Python', 'Flask']",180,同创有云,小型企业,南京,鼓楼区
中级python开发工程师,本科,3-5年,"['爬虫', 'Linux', 'Django', 'MySQL', 'Python后端', '国产化适配', '大模型', 'Linux开发/部署经验', 'Python', 'Flask']",126,开缘防务,微型企业,南京,栖霞区
Python开发（AI或者数字人）,本科,3-5年,"['Python', 'Docker', 'MySQL', 'MongoDB']",186,江苏上古,中型企业,南京,江宁区
python开发工程师（自研）,本科,3-5年,"['Python', 'Scrapy', 'Selenium', 'MySQL', '爬虫经验']",132,南京品德网络信息技术,小型企业,南京,雨花台区
C端电商自动化测试（Python）,本科,5-10年,"['Python', '计算机相关专业', '自动化测试经验']",186,诚迈科技,大型企业,南京,玄武区
python开发工程师,本科,5-10年,"['Docker', 'Python']",210,圣唯思,中型企业,南京,
Python,本科,1-3年,"['Java', '爬虫经验', 'MySQL', 'Reactor', 'Python']",104,阅点点,小型企业,南京,鼓楼区
高级Python工程师,本科,3-5年,"['python语言', 'django', 'Tornado']",240,云思创智,小型企业,南京,玄武区
高级Python（大数据模型）,本科,5-10年,"['Django', 'MySQL', 'RAG', '大模型', 'Python', 'Flask']",240,上海海万信息科技,大型企业,南京,鼓楼区
Python,大专,1-3年,[],117,南京相禾科技,微型企业,南京,江宁区
Python高级研发工程师（双休+五险一金）,本科,5-10年,"['Python', 'PyTorch', 'MySQL', 'Linux开发/部署经验', '架构设计经验']",198,立维网,小型企业,南京,浦口区
Python + 影刀 RPA 助力业务自动化工程师,本科,1-3年,"['Python', 'MySQL', '爬虫经验']",78,南京斐梅,微型企业,南京,鼓楼区
Python Web 开发工程师（Flask/Vue方向）,本科,3-5年,"['Python', 'Flask', 'MySQL', 'Redis', 'PostgreSQL', '团队管理经验', 'Linux开发/部署经验', '架构设计经验']",216,四维向量科技,小型企业,南京,雨花台区
python,本科,经验不限,"['Python', '量化交易开发经验']",462,某大型基金公司,中型企业,南京,
对日高级软件开发工程师JAVA/C/Python,大专,3-5年,"['Python', 'Java', 'C++', 'C', 'C#', 'Django', 'MySQL', '团队管理经验', '日语沟通交流']",318,睿亭信息咨询,小型企业,南京,江宁区
Python开发工程师,本科,3-5年,"['Java', 'SQL', '数据结构', '容器技术', 'Linux', 'Django', 'Tornado', 'GIT']",192,唐恩,小型企业,南京,栖霞区
python算法（南京）XM202504140004-0001,本科,1-3年,"['Python', 'C++', 'C', 'PyTorch', 'MySQL', 'Oracle']",144,北京朗杰,中型企业,南京,浦口区
Python开发工程师（大模型方向）,本科,3-5年,"['Python', 'PyTorch', 'Django', 'TensorFlow', 'MySQL', 'Redis', 'PostgreSQL', '大模型', 'LLaMA', 'LangChain']",174,菲尔森,中型企业,南京,
Python开发工程师,本科,1-3年,"['Python', '分布式技术', '多进程', '消息队列', '网络编程', '多线程', '微服务架构']",216,控维通信科技,中型企业,南京,江宁区
python开发,本科,3-5年,"['Elasticsearch', 'MySQL', 'Redis', 'Python']",162,睿服科技,大型企业,南京,雨花台区
python开发工程师,本科,1-3年,"['Python', 'TensorFlow']",150,上扬软件,中型企业,南京,江宁区
后端开发（Java/python）,本科,3-5年,"['Java', 'Python', 'SpringCloud', 'MySQL', 'PostgreSQL', '不接受居家办公']",162,瑞友数字,中型企业,南京,江宁区
python爬虫工程师,本科,5-10年,['爬虫'],234,索帕新能源,中大型企业,南京,雨花台区
Python,本科,1-3年,"['Python', 'Java', 'C++']",84,南京景盛网络文化传媒,微型企业,南京,
云平台Java+Python-外包-统招学信网,本科,5-10年,"['Java', 'Python', 'SpringCloud', 'Docker', 'MySQL', 'PostgreSQL', '云计算经验', '不接受居家办公', 'Spring Boot']",210,伟仕佳杰,大型企业,南京,鼓楼区
python开发工程师,本科,3-5年,"['自然语言处理算法', '数据挖掘', 'Python']",216,美辛软件,小型企业,南京,
软件开发（python/JAVA/C/C++/JS,本科,1-3年,"['Java', 'Python', 'C', 'Spring', 'MySQL']",234,上海华为技术有限公司,超大型企业,南京,雨花台区
软件开发python,本科,经验不限,"['Python', 'Java', 'C++', 'C', 'C#', 'Django', 'Flask', 'Tornado', 'Scrapy', 'Numpy', 'MySQL', 'Redis', 'Oracle', 'MongoDB', 'HBase', '运维开发经验', '机器学习经验', '云计算经验', 'Linux开发/部署经验', '算法数据结构CC++']",420,南京某大型互联网公司,超大型企业,南京,
中高级python开发工程师,本科,3-5年,"['Python', 'Golang', 'PHP', 'Django', 'MySQL', 'Hadoop', '爬虫经验']",120,智火,小型企业,南京,雨花台区
python软件开发,本科,经验不限,['Python'],117,南京从一医药科技...,中型企业,南京,雨花台区
Java开发（了解Python）,本科,1-3年,"['Java', 'MySQL', 'Spring', 'Python']",138,迈思信息,大型企业,南京,雨花台区
python开发工程师,本科,3-5年,"['Django', 'Oracle', 'Python']",168,越亮传奇,中大型企业,南京,建邺区
python爬虫工程师,本科,1-3年,['java'],270,的卢技术,中型企业,南京,栖霞区
Java/C/C++/Python/前端/测试（接受应届）,本科,经验不限,"['Python', 'C++', 'Java', 'C', 'Golang', '微服务经验']",315,华为技术公司南研所,超大型企业,南京,雨花台区
Python,本科,1-3年,"['Django', 'MongoDB', 'Python']",126,iWudao吾道科技,小型企业,南京,江宁区
Python开发工程师,本科,3-5年,"['MySQL', 'Redis', 'Python']",168,卓顿科技,小型企业,南京,江宁区
Python/JAVA,学历不限,1-3年,"['Python', 'Java', 'Flask', 'Django', 'Kafka', 'MySQL', 'PostgreSQL']",157,罗斯蒙德,小型企业,南京,浦口区
python开发工程师,本科,1-3年,"['后端', 'Python', '计算机相关专业', '数学/统计相关专业']",144,文泽智远,小型企业,南京,浦口区
python全栈工程师,学历不限,经验不限,"['Python', 'Django', 'MySQL']",42,麦斯,微型企业,南京,江宁区
软件初级开发工程师(python）,本科,1-3年,"['C++', 'C', '工业控制行业', 'MySQL', 'Redis', 'Linux开发/部署经验', 'Numpy', 'Python']",84,苏州益发特科技有...,中型企业,南京,玄武区
python,本科,3-5年,"['Python', 'Pandas', 'Numpy', 'Django', 'MySQL', 'PostgreSQL']",270,某中型保险上市公司,大型企业,南京,
python,本科,5-10年,"['MySQL', '后端开发', 'Python', 'Flask', 'TensorFlow']",228,中奥智能工业研究院,小型企业,南京,浦口区
python开发工程师,本科,1-3年,"['机器学习/算法工程', '后端', 'Python', '计算机相关专业', '机器学习工程经验']",216,家康众智,小型企业,南京,江宁区
Python,本科,经验不限,"['Python', 'Java', 'Docker', 'PyTorch', 'MySQL', 'Spark']",294,华为,超大型企业,南京,雨花台区
python高级开发工程师,本科,经验不限,['Python'],360,某大型人力资源服务公司,大型企业,南京,
python开发工程师,本科,3-5年,"['Django', 'PostgreSQL', 'MySQL', 'Redis', 'Python', 'Flask']",150,安来诺,小型企业,南京,雨花台区
校区合伙人python,大专,1-3年,['Python'],114,魔放,微型企业,南京,江宁区
Python开发工程师,本科,3-5年,['Python'],149,苏宁IT,超大型企业,南京,玄武区
急招Python开发 南京双休！,本科,3-5年,"['MySQL', '人工智能', 'Numpy', 'Python']",162,菲克斯能源科技,中型企业,南京,江宁区
python开发,大专,经验不限,"['Scrapy', '团队管理经验', 'Django', 'MySQL', '运维开发经验', '架构设计经验', 'Oracle', 'Python', 'Flask', 'HBase']",96,德塔金,小型企业,南京,建邺区
Python,本科,经验不限,"['Python', 'Java', 'Go', 'C++', 'PHP', '架构师']",300,北京字节跳动,超大型企业,南京,鼓楼区
Python图像开发工程师,本科,经验不限,"['YOLO', 'Python']",102,畅淼,小型企业,南京,江宁区
Python,本科,3-5年,"['Python', 'Java', 'Django', 'MySQL', '机器学习经验']",108,南京非线,微型企业,南京,浦口区
Python开发,大专,1-3年,['中级软件工程师'],114,南京鸿利,微型企业,南京,建邺区
python全栈开发工程师,本科,1-3年,"['Django', 'MySQL', 'MongoDB', 'Python']",132,新瑞途,中型企业,南京,鼓楼区
python工程师,大专,1-3年,"['后端', 'Python', 'Django', '计算机相关专业']",108,江苏中存,微型企业,南京,栖霞区
python开发工程师,本科,1-3年,"['Python', 'Golang', 'Django', 'Kafka', 'Selenium', 'Nginx', 'MySQL', 'HBase', 'Oracle', 'Hadoop', 'Hive']",258,纳泽科技,小型企业,南京,雨花台区
后端开发工程师（python+Java）(J16126),本科,5-10年,"['Python', 'Java', 'Golang', 'C', 'Django', 'Nginx', 'MySQL', 'Oracle', 'PostgreSQL', '爬虫经验', '机器学习经验', '云计算经验', 'AI大模型', '知识工程', '知识图谱', 'RAG系统', '智能体开发']",210,浩鲸科技,超大型企业,南京,江宁区
python开发+Java,大专,1-3年,"['Python', 'Java', 'Elasticsearch', 'MySQL', 'Redis', 'PostgreSQL']",102,墨初,微型企业,南京,建邺区
Python,大专,1-3年,"['数据结构', 'Unix', 'Linux', 'Django', 'PostgreSQL', 'SQL', '软件工程师', 'Python']",126,数创信息科技,微型企业,南京,江宁区
python开发工程师,本科,3-5年,"['Java', 'C++', 'Scrapy', 'K8S', 'Redis', '运维开发经验', 'Tornado', 'MongoDB', '架构设计经验', 'Oracle', 'Linux开发/部署经验', 'Python', 'Flask']",216,量界数据,小型企业,南京,江宁区
Python后端开发工程师,本科,1-3年,"['Python', 'HTML', '后端开发', '服务器配置', 'MySQL', '全栈开发', '多线程', 'Flask']",120,诚擎科技,微型企业,南京,栖霞区
Python开发工程师（AI方向）,本科,3-5年,"['Python', 'Django', 'Flask', 'PyTorch', 'MySQL', 'Redis', '分布式经验', '微服务经验']",270,明思新科(南京)...,微型企业,南京,浦口区
python测试工程师,本科,1-3年,"['C++', 'Linux开发/部署经验', 'Python']",97,南京德软,小型企业,南京,江宁区
Python开发工程师,本科,3-5年,"['机器学习经验', 'Python']",180,新大陆软件,大型企业,南京,建邺区
Python,大专,1-3年,"['Python', '后端开发', 'Python工程师', 'Python算法工程师', '软件工程师', 'ERP', 'odoo']",208,圣安合,微型企业,南京,江宁区
Python,本科,3-5年,"['爬虫经验', 'Docker', 'MySQL', '运维开发经验', 'PHP', '云计算经验', 'Python']",102,可见未来教育科技,微型企业,南京,鼓楼区
高级Python软件开发工程师,本科,3-5年,"['Python', 'Docker', 'Numpy', 'Pandas', 'MongoDB', 'PostgreSQL', '机器学习经验', '爬虫经验']",168,数溪科技,小型企业,南京,雨花台区
软件开发高级工程师（Python）,本科,3-5年,"['Python', 'Django', 'MySQL', 'PostgreSQL', 'Linux开发/部署经验', '架构设计经验']",399,中安智能,中型企业,南京,江宁区
Python爬虫-南京,本科,3-5年,['js逆向'],216,易安航空,中型企业,南京,鼓楼区
Python,大专,1-3年,['Python'],138,南京道朋,中型企业,南京,雨花台区
Python开发工程师（非外包）,大专,1-3年,"['Java', 'Scrapy', 'C', 'Hadoop', '多进程', 'HBase', '网络爬虫技术', 'Linux', 'Django', '云计算经验', 'Spark', 'Selenium', 'Linux开发/部署经验', '量化交易开发经验', 'Flask', 'Python']",126,萤十信息科技有限公司,中型企业,南京,鼓楼区
python开发工程师,本科,5-10年,"['后端', '机器学习/算法工程', 'Python']",150,锐驰鼎欣,小型企业,南京,鼓楼区
python后端工程师,本科,经验不限,"['后端', 'Python']",102,聆韵,小型企业,南京,雨花台区
Python工程师,本科,1-3年,"['Windows', '算法基础', '分布式技术', 'MySQL', 'python', '深度学习']",150,南京智慧水运,小型企业,南京,鼓楼区
Python开发工程师,本科,1-3年,"['Python', 'Django', 'Oracle', 'HBase', '分布式经验', 'Linux开发/部署经验', '985、211、双一流']",315,华为,超大型企业,南京,雨花台区
python开发,本科,3-5年,"['Java', 'Django', 'MySQL', '运维开发经验', 'Redis', 'Tornado', 'MongoDB', 'Linux开发/部署经验', 'Python', 'Flask']",210,黑鲸物联,小型企业,南京,雨花台区
算法工程师/python开发实习生,本科,经验不限,"['Python', 'Django', 'Flask', 'Tornado', 'Scrapy', 'Numpy', 'MySQL', 'Hadoop', 'Redis', 'Oracle', 'MongoDB', '机器学习经验', '云计算经验', '接受实习/在校生投递']",102,正道软件,微型企业,南京,雨花台区
Python,大专,1-3年,"['Python', 'Django', 'MySQL', '团队管理经验', '架构设计经验', 'Linux开发/部署经验', '接受实习/在校生投递']",84,诗情画意,微型企业,南京,鼓楼区
Python,本科,1-3年,"['后端', '爬虫', 'Python', 'MySQL', 'MongoDB', '计算机相关专业']",144,天信通,小型企业,南京,
web后端开发工程师,学历不限,3-5年,"['后端开发', 'Golang', 'python']",210,网眼信息技术,中大型企业,南京,雨花台区
南京Python开发工程师,本科,1-3年,"['运维开发', 'Python', '计算机相关专业']",187,上海玄信,小型企业,南京,栖霞区
python开发工程师,本科,3-5年,"['Python', 'Scrapy', 'MySQL', 'Oracle']",270,上海万得基金,中型企业,南京,建邺区
python中级开发工程师,本科,3-5年,"['Python', 'PyTorch', 'Pandas', 'Numpy', 'Django', 'Flask', 'MySQL', 'Redis', 'Oracle', 'MongoDB', 'PostgreSQL']",132,润飞,小型企业,南京,鼓楼区
Python开发,本科,3-5年,['Python'],120,武汉动策网络科技,微型企业,南京,雨花台区
Python开发工程师,大专,3-5年,"['分布式技术', 'Linux', 'Django']",126,卓影智能科技,微型企业,南京,栖霞区
python开发工程师,本科,3-5年,"['Java', 'Django', 'Pandas', 'MySQL', '架构设计经验', 'Oracle', '有前端经验/技能', 'Numpy', 'Python', 'Flask']",162,珥仁,中型企业,南京,建邺区
Python后端开发工程师,本科,3-5年,"['数据结构', '容器技术', 'MySQL', 'Flask', '软件工程师', 'Python']",150,苗米科技,小型企业,南京,
Python,本科,3-5年,"['Python', 'Django', 'Tornado', 'MySQL', 'Redis', 'MongoDB', '架构设计经验', 'Linux开发/部署经验']",192,云聚互联,微型企业,南京,雨花台区
Python 后台开发工程师 / 高级开发工程师,本科,3-5年,"['Python', 'Django', 'PyTorch', 'MySQL', 'MongoDB', 'HBase', 'PostgreSQL', '架构设计经验', 'Linux开发/部署经验', '运维开发经验', '云计算经验']",108,南京汉悠,小型企业,南京,江宁区
Python全栈工程师,本科,5-10年,"['Django', '微服务架构', '架构师', '容器技术', 'SQL', '中级软件工程师', 'Visual Studio', 'MySQL']",234,华易众欣,中型企业,南京,秦淮区
python应用开发工程师（大模型方向）,本科,经验不限,"['Python', 'PyTorch', 'TensorFlow', '其他']",102,苏宁易购,超大型企业,南京,玄武区
python全栈开发工程师,大专,3-5年,"['团队管理经验', 'Django', 'MySQL', '运维开发经验', 'Redis', 'Tornado', '架构设计经验', 'Linux开发/部署经验', 'Numpy', 'Python', 'Flask']",104,江苏宁源智能科技,微型企业,南京,雨花台区
Python,硕士,经验不限,"['Python', 'Django', 'Flask', 'MySQL', 'Oracle', '团队管理经验']",123,南京骁宸能源科技,微型企业,南京,江宁区
Python开发-AI,本科,5-10年,"['Python', 'Java', 'Django', 'Flask', 'MySQL']",222,紫藤优格,小型企业,南京,江宁区
Python开发工程师,本科,3-5年,"['Python工程师', '分布式技术', '多线程', '多进程', '大数据', '后端开发', '容器技术']",174,华泰证券,超大型企业,南京,雨花台区
高级python开发工程师,本科,3-5年,"['Python', 'Oracle']",276,溪水网络科技有限公司,小型企业,南京,建邺区
python开发工程师,本科,1-3年,"['Python', 'PyTorch', 'MySQL', 'Spark', '团队管理经验', '爬虫经验']",90,方寸图,小型企业,南京,建邺区
python工程师,本科,1-3年,"['Python', 'Django', 'Flask', 'Tornado', 'MySQL', 'Redis', 'MongoDB', '爬虫经验', '运维开发经验', '机器学习经验']",126,扬州鑫利华网带厂,微型企业,南京,江宁区
python开发工程师,本科,1-3年,"['Django', 'MySQL', '运维开发经验', 'Tornado', '架构设计经验', 'Python']",102,南自三厂,中型企业,南京,浦口区
Python,本科,5-10年,"['Java', '爬虫经验', '服务端开发经验', '全栈开发经验', '高级软件工程师', 'Python']",126,保途顺,微型企业,南京,栖霞区
Python 后端(AI方向）,本科,3-5年,"['搜索算法', '大模型算法', '自然语言处理算法', '算法工程化经验', '数据挖掘', 'Python']",186,莲偶科技,小型企业,南京,雨花台区
python开发工程师,大专,3-5年,"['Pandas', 'MySQL', 'Python']",162,奇冠药店,中大型企业,南京,江宁区
Python,本科,1-3年,"['Golang', 'Java', 'Nginx', 'MySQL', 'Redis', 'Selenium', 'Python']",186,南京丰禾,小型企业,南京,江宁区
Python研发工程师,大专,1-3年,"['Java', 'C++', 'C', 'Django', 'PostgreSQL', 'MySQL', 'Python']",114,南京任轩,微型企业,南京,雨花台区
python高级开发工程师,本科,3-5年,"['Java', 'Scrapy', '爬虫经验', 'Elasticsearch', 'Django', 'MySQL', '机器学习经验', 'Redis', 'MongoDB', 'Python']",174,深圳自来,微型企业,南京,建邺区
python高级开发工程师,本科,1-3年,"['爬虫经验', 'PyTorch', 'MySQL', '架构设计经验', 'Linux开发/部署经验', 'Python']",102,绿思科技,小型企业,南京,秦淮区
高级python开发工程师,本科,5-10年,"['Python', 'Flask', 'Django', 'Docker', 'PyTorch', 'TensorFlow', 'MySQL', 'Redis', 'Linux开发/部署经验', 'AI', '大模型']",300,奇瑞信息公司,超大型企业,南京,栖霞区
Ai应用赋能开发工程师python方向,本科,5-10年,"['其他', 'Python', 'Flask']",150,南京迅彩信息科技,微型企业,南京,栖霞区
Python开发工程师,本科,1年以内,"['消息队列', '多进程', 'Linux', 'Windows', '分布式技术', 'Redis', 'MongoDB', 'Scrapy']",90,同袍信息科技,小型企业,南京,雨花台区
Python开发工程师,本科,3-5年,"['Python', 'Tornado', 'Django', 'Kafka', 'MySQL', 'PostgreSQL', 'MongoDB', 'Redis', 'Linux开发/部署经验', '爬虫经验']",175,锦云智开,小型企业,南京,雨花台区
中高级python开发工程师,本科,3-5年,"['Python', 'Docker', 'PyTorch', 'TensorFlow', 'MySQL', 'Oracle', '微服务经验', '云计算经验']",210,数字看点,中型企业,南京,
python开发,本科,3-5年,"['Python', '运营商']",270,某大型计算机软件公司,大型企业,南京,
python数据开发工程师,硕士,1-3年,"['Python', 'Django', 'Flask', 'Numpy', 'Pandas', 'MySQL', 'Redis', 'MongoDB', 'Hadoop', 'Linux开发/部署经验', '云计算经验', 'MySQL', 'MongoDB', 'Python', '数据分析', '数据挖掘']",198,江苏蕴蓝,小型企业,南京,江宁区
python中级工程师,本科,3-5年,"['爬虫经验', 'fastapi', 'Python']",210,宇盾信息,小型企业,南京,浦口区
高级python开发工程师,硕士,5-10年,"['PyTorch', 'Docker', 'MySQL', 'Redis', '大模型', '架构设计经验', '数字人', 'Linux开发/部署经验', 'Python', 'Flask']",344,microvideo,中型企业,南京,栖霞区
python开发工程师,本科,3-5年,"['Scrapy', '爬虫经验', 'Pandas', 'MySQL', 'Spark', 'Linux开发/部署经验', 'Python']",198,北京八友科技,小型企业,南京,
Python工程师,本科,1-3年,"['数据开发', '爬虫', 'Python']",104,帝岩,小型企业,南京,建邺区
python开发工程师,本科,经验不限,"['Golang', 'MySQL', '机器学习经验', 'AI', '人工智能', '云计算经验', 'AIGC', 'Python', 'Kubernetes']",186,汇智互娱,中型企业,南京,雨花台区
python,大专,3-5年,"['Go', '容器技术', 'Linux', 'Unix', 'PostgreSQL', 'Flask']",150,尚运,小型企业,南京,雨花台区
python开发工程师,本科,3-5年,"['网络编程', 'Python', 'IoT']",180,钛科圈,中型企业,南京,江宁区
