职位,学历,经验,公司,"城市,",区域,商圈,技能列表,福利列表
python后端开发工程师,本科,5-10年,奇瑞信息公司,北京,大兴区,黄村,"['Python', 'Flask', 'Django', 'TensorFlow', 'PyTorch', 'Kafka', 'Redis', 'MySQL', '分布式经验', '架构设计经验', '云计算经验', 'AI', '算法']","['绩效奖金', '餐补', '带薪年假', '零食下午茶', '免费工装', '免费班车', '团建聚餐', '年终奖', '五险一金', '包住', '节日福利', '高温补贴', '夜班补助', '生日福利', '补充医疗保险', '意外险', '宿舍有空调', '通讯补贴', '定期体检']"
Python驻场开发工程师,本科,3-5年,丹渥智能,北京,朝阳区,建外,"['Python', 'MySQL', 'Oracle', '机器学习经验']","['餐补', '零食下午茶', '带薪年假', '五险一金', '年终奖']"
Python爬虫工程师,本科,经验不限,翰斯哈麻,北京,朝阳区,朝外,"['密码算法', '网络爬虫技术', '后端开发', '人脸识别', '爬虫工程师', 'Python算法工程师', 'Python', 'Python工程师']",[]
Python后端开发工程师,本科,1-3年,北京人和创建,北京,海淀区,苏州桥,"['Python', 'MySQL', 'Oracle', 'PostgreSQL', 'Odoo', 'ORM']","['节日福利', '团建聚餐', '员工旅游', '零食下午茶', '五险一金', '带薪年假', '节假日加班费', '加班补助', '定期体检', '生日福利']"
python  软件集成工程师 自动化,大专,在校/应届,博米科技,北京,顺义区,后沙峪,"['Python', 'C++', 'C#', 'Django', 'Tornado', 'Pandas', 'MySQL', 'Oracle', 'MongoDB']",[]
Python开发实习生,本科,经验不限,傲盾软件,北京,,,"['Python', 'Golang', 'Django', 'MySQL', 'Linux开发/部署经验']","['保底工资', '节假日加班费', '交通补助', '绩效奖金', '法定节假日三薪', '餐补', '年终奖']"
python后端开发工程师,大专,5-10年,北京吉普特,北京,海淀区,五棵松,"['Django', 'MySQL', 'Redis', 'Oracle', 'Python']","['带薪年假', '节日福利', '五险一金', '年终奖']"
python开发工程师-应届,本科,在校/应届,中科紫东太初,北京,海淀区,苏州桥,"['Python', 'Docker', 'Kubernetes', 'MySQL']","['通讯补贴', '节日福利', '带薪年假', '餐补', '五险一金', '补充医疗保险', '定期体检', '年终奖']"
初中级python开发工程师,本科,1-3年,北京南天软件有限公司,北京,海淀区,上地,"['Django', 'MySQL', '接受无前端经验/技能', '其他', 'Python', 'Flask']","['餐补', '补充医疗保险', '带薪年假', '通讯补贴', '节日福利', '年终奖', '定期体检', '五险一金']"
Python,大专,3-5年,云南沁川环境科技...,北京,海淀区,上地,['Python'],"['五险一金', '定期体检', '带薪年假', '节日福利']"
Python开发工程师,本科,1-3年,瑞鑫天算,北京,海淀区,四季青,['后端开发'],[]
Python后端开发工程师,本科,3-5年,GatherOne,北京,朝阳区,常营,"['Django', 'MySQL', '服务器配置', '分布式技术', '多线程', 'Redis', '多进程', 'Tornado', 'Python', 'Flask']","['零食下午茶', '团建聚餐', '年终奖', '定期体检', '五险一金', '保底工资', '全勤奖', '股票期权', '员工旅游', '节日福利', '带薪年假', '底薪加提成', '绩效奖金']"
python数据工程师,本科,经验不限,北京律页网络科技,北京,朝阳区,大山子,"['Python', 'Django', 'Flask', 'Kafka', 'MySQL', 'MongoDB', 'Redis']","['年终奖', '免费班车', '零食下午茶', '住房补贴', '带薪年假', '员工旅游', '股票期权', '定期体检', '五险一金']"
后端开发工程师（python）,本科,经验不限,学堂在线,北京,,,"['Django', 'MySQL', '接受无前端经验/技能', 'Redis', '不限', 'Tornado', 'MongoDB', 'Linux开发/部署经验', 'Python', 'Flask']","['定期体检', '餐补', '免费早餐', '年终奖', '生日福利', '通讯补贴', '团建聚餐', '节日福利', '五险一金', '午餐补贴', '交通补助', '带薪年假', '全勤奖']"
python,本科,3-5年,某知名大型计算机软件公司,北京,,,['Python'],"['免费班车', '夜班补助', '节日福利', '保底工资', '节假日加班费', '交通补助', '股票期权', '加班补助', '员工旅游', '带薪年假', '意外险', '定期体检', '零食下午茶', '年终奖', '团建聚餐', '法定节假日三薪', '绩效奖金', '补充医疗保险', '五险一金', '企业年金']"
python开发工程师,本科,3-5年,华苏科技,北京,昌平区,沙河,"['Docker', 'MySQL', '机器学习经验', 'AI', 'Redis', 'Python', 'Flask']","['节日福利', '定期体检', '五险一金', '带薪年假']"
python后端开发工程师,大专,1-3年,上海鑫亿诚宸信息技术,北京,海淀区,学院路,"['Python', 'Django', 'Redis', 'MySQL']","['定期体检', '五险一金', '工龄奖']"
Python,大专,1-3年,图风灵水,北京,朝阳区,朝外,"['团队管理经验', 'PyTorch', 'Python']",[]
python全栈开发工程师,本科,1-3年,北京翔凤,北京,朝阳区,望京,"['Python', 'Flask', 'Django', 'Tornado', 'MySQL', 'Redis']",['住房补贴']
python开发工程师,大专,1-3年,法本,北京,昌平区,沙河,"['Golang', 'Linux开发/部署经验', 'Python']","['节日福利', '带薪年假', '企业文化', '五险一金', '零食下午茶']"
Python开发工程师,本科,经验不限,汇力凯途,北京,,,"['elasticsearch', '服务端开发经验', '后端', 'Python']","['五险一金', '带薪年假', '员工旅游']"
Python 2个月,大专,3-5年,云创佳华,北京,海淀区,军博,"['Python', 'Django', 'Redis', '大模型']",[]
python后端开发工程师,本科,1-3年,卓世科技,北京,丰台区,花乡,['Python'],"['工龄奖', '定期团建', '餐补', '股票期权', '五险一金', '免费工装', '零食下午茶', '免费班车', '带薪年假', '补充医疗保险', '员工生日会', '生日福利', '定期体检', '绩效奖金', '节日福利', '年终奖', '通讯补贴', '定期培训', '底薪加提成', '团建聚餐']"
Python，双休，六险一金,本科,经验不限,武汉佰钧成技术,北京,朝阳区,朝外,"['Python', 'Django', 'MySQL', '英语']","['节日福利', '带薪年假', '定期体检', '补充医疗保险', '五险一金']"
Python后端工程师,本科,1-3年,尘宇空间,北京,海淀区,公主坟,"['软件工程师', 'Django', 'Flask', 'PostgreSQL', 'Linux', '数据结构', '网络编程', '微服务架构']","['支持远程工作', '节日福利', '年终奖', '五险一金', '股票期权', '交通补助', '带薪年假', '定期体检', '设备补贴', '有竞争力薪酬']"
python开发工程师,本科,经验不限,华通科技,北京,,,['Python'],"['餐补', '带薪年假', '免费班车', '节日福利', '交通补助', '五险一金']"
Python（ai）,本科,3-5年,北京震耀,北京,,,"['Python', 'Java', 'C++', 'C', 'Elasticsearch']",[]
python后端开发,本科,3-5年,威动科技,北京,朝阳区,望京,"['Python', 'Flask', 'Django', 'MySQL', 'Linux开发/部署经验', '运维开发经验']","['节日福利', '定期体检', '餐补', '零食下午茶', '五险一金', '带薪年假', '生日福利', '员工旅游', '年终奖']"
Python工程师-外派大厂,大专,3-5年,柯莱特集团,北京,顺义区,马坡,"['Python', 'Django', 'Flask', 'MySQL', 'Hadoop', 'Hive', '爬虫经验', '车企', '汽车行业经验']","['交通补助', '节日福利', '五险一金']"
python工程师,本科,3-5年,点控云,北京,丰台区,看丹桥,"['Python', 'Java', 'C++', 'Docker', 'MySQL']","['生日福利', '员工旅游', '节日福利', '工龄奖', '保底工资', '团建聚餐', '餐补', '五险一金', '绩效奖金', '带薪年假', '定期体检', '底薪加提成', '零食下午茶']"
python开发工程师,本科,经验不限,数易科技,北京,大兴区,亦庄,"['Python', 'C++', 'Java', 'Docker', 'MySQL', '架构设计经验', 'Linux开发/部署经验']","['五险一金', '通讯补贴', '带薪年假', '节日福利', '餐补', '年终奖', '零食下午茶']"
Python,本科,3-5年,秦皇岛欧森科技,北京,海淀区,上地,"['Python', 'Scrapy', 'Spark', 'AI经验']",[]
python后端开发工程师,本科,在校/应届,北京欧思智洲科技,北京,海淀区,学院路,"['Python', 'Docker', 'Kubernetes', 'MongoDB', '运维开发经验', '机器学习经验', '云计算经验', '大模型']",[]
python开发工程师,本科,3-5年,上海瑞应人才科技,北京,朝阳区,朝外,"['MySQL', '机器学习经验', '云计算经验', 'Prompt', '大模型', 'Python']","['带薪年假', '年终奖', '五险一金']"
python高级开发工程师,本科,1-3年,北京天屹源创智能科技,北京,海淀区,学院路,"['Python', 'Django', 'Flask', 'Tornado', 'Scrapy', 'Numpy', 'MySQL', 'Redis', 'Oracle', 'MongoDB', 'PostgreSQL', 'Linux开发/部署经验', '爬虫经验', '分布式经验', '架构设计经验']",[]
python,本科,1-3年,银丰新融,北京,丰台区,花乡,"['Python', 'TensorFlow', 'MySQL', 'Linux开发/部署经验', 'SQL']","['团建聚餐', '五险一金', '定期体检', '带薪年假', '法定节假日三薪', '节日福利']"
Python,本科,1-3年,马思沓吉,北京,大兴区,黄村,"['Golang', 'Java', 'Nginx', 'PostgreSQL', '机器学习经验', 'Numpy', 'Pandas', 'MySQL', '架构设计经验', 'Linux开发/部署经验', 'Python', 'Flask', 'TensorFlow']",[]
初级python开发工程师,本科,3-5年,世通亨奇,北京,海淀区,学院路,"['Java', 'Django', 'PostgreSQL', 'MySQL', 'Python', 'Flask']","['加班补助', '生日福利', '带薪年假', '股票期权', '团建聚餐', '零食下午茶', '意外险', '五险一金', '补充医疗保险', '交通补助', '员工旅游', '免费工装', '定期体检', '节日福利', '餐补', '年终奖', '绩效奖金']"
中级 Python 开发工程师,大专,5-10年,北京灵福科技有限公司,北京,丰台区,花乡,"['Python', 'Golang', 'Java', 'Django', 'Flask', 'Tornado', 'MySQL', 'Redis', 'Oracle']","['加班补助', '五险一金', '带薪年假', '团建聚餐', '有无线网', '补充医疗保险']"
python爬虫,本科,3-5年,上亭信息,北京,海淀区,学院路,"['Python', 'MySQL']",[]
Python后端开发（客户驻场岗位）,本科,5-10年,索信达,北京,顺义区,马坡,"['分布式经验', '微服务经验', 'Django', '机器学习经验', 'K8S', '平台建设', 'Kafka', 'ES(ElasticSearch)', 'Redis', 'Spark', '架构设计经验', 'Python']","['绩效奖金', '五险一金']"
高级Python程序员,本科,5-10年,北京雷动玄机科技,北京,东城区,王府井,"['Python', 'Golang', 'Django', 'Flask', 'Kafka', 'Nginx', 'Elasticsearch', 'Hadoop', 'Oracle', 'PostgreSQL', 'Hive', 'Redis']","['绩效奖金', '定期体检', '年终奖', '五险一金', '股票期权', '全勤奖', '夜班补助', '法定节假日三薪', '意外险', '企业年金']"
Python后端开发,本科,1-3年,慧博云通,北京,丰台区,花乡,"['MySQL', 'Linux开发/部署经验', 'Python', 'Flask']","['加班补助', '定期体检', '年终奖', '股票期权', '节日福利', '五险一金', '补充医疗保险', '带薪年假']"
python（福利好，早8晚5）,本科,经验不限,上海思芮,北京,通州区,马驹桥,"['Python', 'MySQL']","['补充医疗保险', '五险一金']"
python,本科,5-10年,北京华路时代,北京,海淀区,中关村,"['Django', 'MySQL', 'Python']","['餐补', '加班补助', '生日礼', '节日福利', '带薪年假', '五险一金']"
python web全栈工程师,本科,1-3年,泰星达,北京,顺义区,天竺,"['Linux', 'Django', 'Redis', '后端', 'Python', 'Flask']",[]
Python,大专,3-5年,上海华驿汽车技术公司,北京,海淀区,上地,"['MySQL', 'Python']","['定期体检', '五险一金', '员工旅游', '全勤奖', '加班补助', '节日福利', '带薪年假', '年终奖', '通讯补贴', '股票期权']"
Python  Web  开发工程师,本科,3-5年,华医科睿,北京,海淀区,上地,"['Python', 'Docker', 'Redis', 'PostgreSQL', 'MySQL']","['零食下午茶', '团建聚餐', '节日福利', '绩效奖金', '定期体检', '五险一金', '带薪年假', '年终奖']"
python高级开发工程师,本科,3-5年,佳亿国数,北京,东城区,永定门,"['Python', 'Django', 'Docker', 'MySQL', 'Redis', 'PostgreSQL', 'Linux开发/部署经验']","['包住', '宿舍有空调', '五险一金', '绩效奖金']"
Python后端开发工程师,本科,3-5年,AiPPT.com,北京,朝阳区,百子湾,"['微服务经验', 'Django', 'PostgreSQL', 'MySQL', 'Linux开发/部署经验', 'Python', 'Flask']","['股票期权', '五险一金', '带薪年假', '加班补助', '住房补贴', '节日福利', '交通补助', '全勤奖', '补充医疗保险', '零食下午茶', '定期体检', '餐补']"
python开发工程师,本科,1-3年,泰达商旅,北京,朝阳区,十里河,"['Python', 'Java', 'MySQL', '机器学习经验', '商旅行业', '大健康行业']","['全勤奖', '五险一金']"
python工程师,本科,1-3年,曼孚科技,北京,朝阳区,望京,"['爬虫经验', 'Docker', 'MySQL', 'Oracle', 'Python']","['生日福利', '定期体检', '年终奖', '团建聚餐', '绩效奖金', '通讯补贴', '节日福利', '零食下午茶', '加班补助', '股票期权', '员工旅游', '法定节假日三薪', '全勤奖', '带薪年假', '五险一金']"
