职位,学历,经验,公司,"城市,",区域,商圈,技能列表,福利列表
python开发工程师,本科,3-5年,美辛软件,南京,,,"['自然语言处理算法', '数据挖掘', 'Python']","['五险一金', '定期体检', '年终奖', '餐补', '节日福利']"
python开发工程师,硕士,3-5年,国网电科院,南京,江宁区,开发区,"['机器学习/算法工程', 'Python', 'TensorFlow', 'PyTorch']","['免费班车', '节日福利', '带薪年假', '免费工装', '生日福利', '企业年金', '股票期权', '补充医疗保险', '定期体检', '通讯补贴', '年终奖', '餐补', '五险一金', '加班补助']"
AI 后端开发实习生 (Python 开发能力),本科,,博西家电,南京,栖霞区,尧化,"['Python', 'Flask', 'Django']","['节日福利', '免费班车', '带薪年假', '法定节假日三薪', '节假日加班费', '年终奖', '定期体检', '补充医疗保险', '五险一金']"
C端电商自动化测试（Python）,本科,5-10年,诚迈科技,南京,玄武区,徐庄软件园,"['Python', '计算机相关专业', '自动化测试经验']","['免费班车', '团建聚餐', '通讯补贴', '五险一金', '交通补助', '员工旅游', '法定节假日三薪', '加班补助', '餐补', '节日福利', '定期体检', '带薪年假']"
python开发工程师+外包+芜湖工作,本科,5-10年,海通安恒,南京,玄武区,新街口,"['Python', 'Django', 'Kafka', 'MySQL', 'MongoDB']","['节日福利', '定期体检', '通讯补贴', '带薪年假', '五险一金']"
python,本科,3-5年,广东盛讯通,南京,雨花台区,安德门,"['Golang', 'Python', 'Django', 'MySQL', '分布式经验', '微服务经验', 'Linux开发/部署经验']",[]
Python,本科,1-3年,南京景盛网络文化传媒,南京,,,"['Python', 'Java', 'C++']",[]
python实习生,本科,,CYCLONE RPA,南京,雨花台区,宁南,"['爬虫经验', 'PyTorch', 'Docker', 'MySQL', 'Python']","['节日福利', '年终奖', '零食下午茶', '带薪年假', '五险一金', '股票期权', '员工旅游']"
python开发工程师,本科,3-5年,中新赛克,南京,雨花台区,安德门,"['Python', 'Django', 'Flask', 'Docker', 'Kubernetes', 'Nginx', 'Redis', 'PostgreSQL', '大模型', '智能体', 'Langchain']","['年终奖', '餐补', '定期体检', '免费班车', '节日福利', '补充医疗保险', '食堂', '交通补助', '带薪年假', '住房补贴', '班车', '股票期权', '通讯补贴', '包吃', '员工旅游', '五险一金', '零食下午茶']"
Python/JAVA,学历不限,1-3年,罗斯蒙德,南京,浦口区,泰山,"['Python', 'Java', 'Flask', 'Django', 'Kafka', 'MySQL', 'PostgreSQL']","['企业年金', '生日福利', '加班补助', '团建聚餐', '餐补', '五险一金', '节日福利', '绩效奖金', '带薪年假', '全勤奖', '年终奖', '交通补助']"
Python开发工程师（大模型方向）,本科,3-5年,菲尔森,南京,,,"['Python', 'PyTorch', 'Django', 'TensorFlow', 'MySQL', 'Redis', 'PostgreSQL', '大模型', 'LLaMA', 'LangChain']","['生日福利', '节日福利', '带薪年假', '定期体检', '五险一金']"
python实习生,本科,,SIMTEK,南京,江宁区,百家湖,"['Python', 'PyTorch', 'MySQL']","['餐补', '通讯补贴', '员工旅游', '五险一金', '年终奖', '股票期权', '交通补助', '定期体检', '交通意外保险', '住房补贴']"
Python开发实习生,本科,,海南惊韬科技投资集团,南京,鼓楼区,山西路,"['Django', 'Pandas', 'MySQL', 'Numpy', 'Python']","['意外险', '绩效奖金', '五险一金', '全勤奖', '带薪年假', '节日福利', '底薪加提成', '保底工资', '通讯补贴', '生日福利', '高温补贴', '餐补', '免费班车', '零食下午茶', '工龄奖', '股票期权']"
python开发工程师,本科,1-3年,文泽智远,南京,浦口区,沿江,"['后端', 'Python', '计算机相关专业', '数学/统计相关专业']","['餐补', '带薪年假', '定期体检', '节日福利', '年终奖', '加班补助', '五险一金']"
后端开发实习生(Python/Go/Linux),本科,,凯易讯,南京,雨花台区,安德门,"['Python', 'Docker']","['交通补助', '通讯补贴', '节日福利', '住房补贴', '团建聚餐', '生日福利', '零食下午茶', '定期体检', '水果', '餐补', '意外险', '绩效奖金', '新鲜奶咖', '年终奖', '补充医疗保险', '员工旅游', '带薪年假', '五险一金']"
python,本科,5-10年,中奥智能工业研究院,南京,浦口区,江浦,"['MySQL', '后端开发', 'Python', 'Flask', 'TensorFlow']","['节日福利', '五险一金', '年终奖', '零食下午茶', '股票期权', '加班补助', '员工旅游', '带薪年假']"
python开发实习生,大专,,南京速码,南京,江宁区,将军大道,"['爬虫', 'Python']",[]
python开发,大专,经验不限,德塔金,南京,建邺区,水西门,"['Scrapy', '团队管理经验', 'Django', 'MySQL', '运维开发经验', '架构设计经验', 'Oracle', 'Python', 'Flask', 'HBase']",[]
Python开发,大专,1-3年,南京鸿利,南京,建邺区,双闸,['中级软件工程师'],[]
Python,本科,1-3年,厚勇科技,南京,玄武区,锁金村,"['Python', '其他', '爬虫经验', '开发工程师']",['五险一金']
校区合伙人python,大专,1-3年,魔放,南京,江宁区,托乐嘉,['Python'],"['加班补助', '餐补', '五险一金', '带薪年假', '股票期权', '全勤奖', '住房补贴', '定期体检', '通讯补贴', '节日福利', '交通补助']"
python后端开发实习生,硕士,,南京天洑软件有限公司,南京,江宁区,开发区,['Python'],"['股票期权', '免费工装', '员工旅游', '交通补助', '免费班车', '带薪年假', '零食下午茶', '补充医疗保险', '节日福利', '通讯补贴', '五险一金', '团建聚餐', '绩效奖金', '餐补']"
自动化测试工程师-Python,本科,5-10年,晴润科技,南京,玄武区,徐庄软件园,"['自动化测试经验', 'LoadRunner', 'Selenium', 'JMeter', '软件开发经验', 'Python']","['五险一金', '零食下午茶', '节日福利', '员工旅游', '带薪年假']"
Python,本科,3-5年,南京非线,南京,浦口区,江浦,"['Python', 'Java', 'Django', 'MySQL', '机器学习经验']","['节日福利', '交通补助', '带薪年假', '年终奖', '餐补', '通讯补贴']"
急招Python开发 南京双休！,本科,3-5年,菲克斯能源科技,南京,江宁区,开发区,"['MySQL', '人工智能', 'Numpy', 'Python']","['年终奖', '加班补助', '全勤奖', '节日福利', '零食下午茶', '带薪年假', '五险一金']"
高级python开发工程师,本科,3-5年,南京基山,南京,鼓楼区,山西路,"['Python', 'Pandas', 'Numpy', 'MySQL']","['绩效奖金', '五险一金']"
python量化开发工程师,本科,经验不限,南京市骐凯舜教育科技,南京,建邺区,江东,"['PostgreSQL', 'Pandas', 'MySQL', '机器学习经验', '运维开发经验', 'Numpy', '量化交易开发经验', 'Python']","['年终奖', '员工旅游', '节假日加班费', '带薪年假', '绩效奖金', '有无线网', '五险一金']"
Python开发工程师,本科,3-5年,苏宁IT,南京,玄武区,仙鹤门,['Python'],"['免费班车', '补充医疗保险', '定期体检', '年终奖', '交通补助', '五险一金', '带薪年假', '餐补', '股票期权', '通讯补贴', '节日福利', '零食下午茶']"
Python 后台开发工程师 / 高级开发工程师,本科,3-5年,南京汉悠,南京,江宁区,东善桥,"['Python', 'Django', 'PyTorch', 'MySQL', 'MongoDB', 'HBase', 'PostgreSQL', '架构设计经验', 'Linux开发/部署经验', '运维开发经验', '云计算经验']","['五险一金', '绩效奖金', '餐补', '年终奖', '节日福利']"
Python,本科,经验不限,南京米斗教育科技...,南京,建邺区,奥体,"['接受实习/在校生投递', 'MySQL', '架构设计经验', 'Python', 'Flask']",[]
Python实施开发,本科,1-3年,大千信息,南京,江宁区,百家湖,"['Pandas', 'MySQL', '其他', 'Python']",['五险一金']
Python,本科,1-3年,南京全设,南京,江宁区,,"['Java', '后端开发', '数据库']",[]
Python,本科,经验不限,北京字节跳动,南京,鼓楼区,南大,"['Python', 'Java', 'Go', 'C++', 'PHP', '架构师']","['零食下午茶', '绩效奖金', '意外险', '带薪年假', '就近租房补贴', '年终奖', '交通补助', '五险一金', '定期体检', '节日福利', '弹性工作制', '团建聚餐', '加班补助', '年度体检', '家庭关爱假', '餐饮及下午茶', '餐补', '补充医疗保险', '节日礼品', '住房补贴']"
Python开发工程师,本科,3-5年,卓顿科技,南京,江宁区,胜太路,"['MySQL', 'Redis', 'Python']","['加班补助', '五险一金', '带薪年假', '股票期权', '年终奖', '员工旅游', '节日福利', '零食下午茶']"
python开发,本科,5-10年,上古网络,南京,江宁区,开发区,"['Python', 'Docker', 'MySQL', 'AI', '数字人']","['节日福利', '加班补助', '带薪年假', '包吃', '员工旅游', '五险一金', '年终奖']"
Python实习生,学历不限,,贝优科技,南京,鼓楼区,山西路,"['Python', 'Docker', 'Selenium', 'Nginx', 'MySQL', 'Redis', 'MongoDB', '接受实习/在校生投递']","['通讯补贴', '零食下午茶', '保底工资', '节日福利', '带薪年假', '五险一金', '餐补', '生日福利', '绩效奖金', '底薪加提成', '年终奖', '定期体检', '交通补助', '加班补助', '团建聚餐']"
python爬虫工程师,本科,1-3年,的卢技术,南京,栖霞区,新港开发区,['java'],"['五险一金', '补充医疗保险', '团建津贴', '通讯补贴', '年终奖', '带薪年假', '餐补', '股票期权', '定期体检', '节日福利']"
python工程师,大专,1-3年,江苏中存,南京,栖霞区,仙林大学城,"['后端', 'Python', 'Django', '计算机相关专业']",[]
JAVA/C++/JS/python/GO等通用开发工程师,本科,经验不限,华为技术有限公司,南京,雨花台区,南京南站,"['Python', '负载均衡技术', '分布式技术', '数据结构', 'Redis']","['五险一金', '绩效奖金', '节日福利', '免费班车', '团建聚餐', '零食下午茶', '夜班补助', '年终奖', '生日福利', '节假日加班费', '带薪年假', '员工旅游', '股票期权', '保底工资', '交通补助', '加班补助', '定期体检', '补充医疗保险', '法定节假日三薪', '离职补偿']"
python全栈开发工程师,本科,1-3年,新瑞途,南京,鼓楼区,山西路,"['Django', 'MySQL', 'MongoDB', 'Python']",[]
python开发工程师,本科,3-5年,量界数据,南京,江宁区,东山,"['Java', 'C++', 'Scrapy', 'K8S', 'Redis', '运维开发经验', 'Tornado', 'MongoDB', '架构设计经验', 'Oracle', 'Linux开发/部署经验', 'Python', 'Flask']","['节日福利', '团建聚餐', '零食下午茶', '节假日加班费', '加班补助']"
Python,本科,5-10年,保途顺,南京,栖霞区,万寿,"['Java', '爬虫经验', '服务端开发经验', '全栈开发经验', '高级软件工程师', 'Python']",[]
python全栈工程师,学历不限,经验不限,麦斯,南京,江宁区,东山,"['Python', 'Django', 'MySQL']","['年终奖', '五险一金']"
Python,本科,1-3年,iWudao吾道科技,南京,江宁区,同曦,"['Django', 'MongoDB', 'Python']","['生日福利', '节日福利', '住房补贴', '员工旅游', '定期体检', '带薪年假', '加班补助', '零食下午茶', '五险一金']"
云平台Java+Python-外包-统招学信网,本科,5-10年,伟仕佳杰,南京,鼓楼区,中央路,"['Java', 'Python', 'SpringCloud', 'Docker', 'MySQL', 'PostgreSQL', '云计算经验', '不接受居家办公', 'Spring Boot']","['带薪年假', '生日福利', '通讯补贴', '节日福利', '零食下午茶', '餐补', '有无线网', '员工旅游', '交通补助']"
python开发工程师,本科,1-3年,方寸图,南京,建邺区,江东,"['Python', 'PyTorch', 'MySQL', 'Spark', '团队管理经验', '爬虫经验']","['五险一金', '通讯补贴', '年终奖', '零食下午茶', '定期体检', '全勤奖', '加班补助', '节日福利', '交通补助']"
python,本科,3-5年,嘻码科技(北京),南京,建邺区,江东,"['Python', 'Django']","['加班补助', '五险一金']"
Python开发,本科,3-5年,法本,南京,雨花台区,安德门,"['k8s', 'Python']","['带薪年假', '企业文化', '节日福利', '五险一金', '零食下午茶']"
Python开发工程师,本科,经验不限,升智科技,南京,雨花台区,铁心桥,"['Python', 'Golang', 'PyTorch', 'TensorFlow', 'Docker', 'MySQL']","['年终奖', '零食下午茶', '团建聚餐', '生日福利', '五险一金', '股票期权', '绩效奖金', '定期体检', '带薪年假', '节日福利']"
Python,大专,1-3年,数创信息科技,南京,江宁区,东山,"['数据结构', 'Unix', 'Linux', 'Django', 'PostgreSQL', 'SQL', '软件工程师', 'Python']","['年终奖', '全勤奖', '零食下午茶', '补充医疗保险', '五险一金']"
Python,本科,3-5年,可见未来教育科技,南京,鼓楼区,万达广场,"['爬虫经验', 'Docker', 'MySQL', '运维开发经验', 'PHP', '云计算经验', 'Python']","['五险一金', '带薪年假', '股票期权', '零食下午茶', '节日福利', '补充医疗保险', '年终奖', '交通补助', '餐补', '定期体检', '员工旅游']"
Python,本科,1-3年,兔酱,南京,江宁区,百家湖,"['Golang', 'Scrapy', '分布式经验', 'PostgreSQL', '机器学习经验', 'Redis', '爬虫经验', 'Elasticsearch', 'MySQL', 'Pandas', '运维开发经验', 'MongoDB', 'Selenium', 'Linux开发/部署经验', 'Flask', 'Python']","['底薪加提成', '夜班补助', '节假日加班费', '节日福利', '五险一金']"
中级python开发工程师,本科,3-5年,开缘防务,南京,栖霞区,仙林大学城,"['爬虫', 'Linux', 'Django', 'MySQL', 'Python后端', '国产化适配', '大模型', 'Linux开发/部署经验', 'Python', 'Flask']","['带薪年假', '全勤奖', '绩效奖金', '团建聚餐', '股票期权', '年终奖', '五险一金']"
python高级开发工程师,本科,经验不限,某大型人力资源服务公司,南京,,,['Python'],[]
python测试工程师,本科,1-3年,南京德软,南京,江宁区,科学园,"['C++', 'Linux开发/部署经验', 'Python']","['绩效奖金', '通讯补贴', '生日福利', '带薪年假', '节日福利', '餐补', '包吃', '员工旅游', '包住', '交通补助', '保底工资', '底薪加提成', '高温补贴', '团建聚餐', '零食下午茶', '住房补贴', '年终奖', '定期体检', '五险一金', '意外险']"
Python开发工程师（AI方向）,本科,3-5年,明思新科(南京)...,南京,浦口区,江浦,"['Python', 'Django', 'Flask', 'PyTorch', 'MySQL', 'Redis', '分布式经验', '微服务经验']","['交通补助', '全勤奖', '有无线网', '底薪加提成', '保底工资', '五险一金', '绩效奖金']"
Python/Perl后台开发工程师,本科,3-5年,中盈优创,南京,建邺区,中胜,"['软件工程师', 'python', 'perl']","['节日福利', '有无线网', '交通补助', '生日福利', '团建聚餐', '法定节假日三薪', '意外险']"
Python,大专,1-3年,圣安合,南京,江宁区,大学城,"['Python', '后端开发', 'Python工程师', 'Python算法工程师', '软件工程师', 'ERP', 'odoo']",[]
python开发工程师,本科,5-10年,圣唯思,南京,,,"['Docker', 'Python']","['带薪年假', '优秀员工', '补充医疗保险', '定期体检', '五险一金', '加班补助', '节日福利', '年终奖']"
python开发实习生,本科,,焦点教育科技有限公司,南京,浦口区,沿江,['Python'],"['节日福利', '免费工装', '股票期权', '零食下午茶', '意外险', '包吃', '全勤奖', '五险一金', '生日福利', '员工旅游', '年终奖', '带薪年假', '定期体检', '补充医疗保险', '加班补助', '免费班车']"
高级Python软件开发工程师,本科,3-5年,数溪科技,南京,雨花台区,铁心桥,"['Python', 'Docker', 'Numpy', 'Pandas', 'MongoDB', 'PostgreSQL', '机器学习经验', '爬虫经验']","['全勤奖', '餐补', '员工旅游', '带薪年假', '交通补助', '节日福利', '五险一金', '加班补助', '定期体检', '年终奖', '股票期权']"
Python后端开发工程师,本科,1-3年,诚擎科技,南京,栖霞区,仙林大学城,"['Python', 'HTML', '后端开发', '服务器配置', 'MySQL', '全栈开发', '多线程', 'Flask']","['有无线网', '团建聚餐', '定期体检', '年终奖', '节日福利', '生日福利', '五险一金']"
python开发工程师,本科,3-5年,越亮传奇,南京,建邺区,江东,"['Django', 'Oracle', 'Python']",['五险一金']
Python（国企）,本科,3-5年,北京某大型保险上市公司,南京,,,"['Python', 'Pandas', 'Django', 'Numpy']","['带薪年假', '员工旅游', '全勤奖', '节日福利', '底薪加提成', '交通补助', '保底工资', '通讯补贴', '绩效奖金', '生日福利', '补充医疗保险', '年终奖', '意外险', '团建聚餐', '有无线网', '零食下午茶']"
python中级开发工程师,本科,3-5年,润飞,南京,鼓楼区,山西路,"['Python', 'PyTorch', 'Pandas', 'Numpy', 'Django', 'Flask', 'MySQL', 'Redis', 'Oracle', 'MongoDB', 'PostgreSQL']",['五险一金']
python,本科,3-5年,迈思信息,南京,雨花台区,铁心桥,"['Django', 'MongoDB', 'Python']","['定期体检', '五险一金', '通讯补贴', '带薪年假', '零食下午茶']"
web后端开发工程师,学历不限,3-5年,网眼信息技术,南京,雨花台区,软件大道,"['后端开发', 'Golang', 'python']","['员工旅游', '节日福利', '定期体检', '五险一金', '带薪年假', '包吃', '零食下午茶', '补充医疗保险']"
Python开发工程师（非外包）,大专,1-3年,萤十信息科技有限公司,南京,鼓楼区,湖南路,"['Java', 'Scrapy', 'C', 'Hadoop', '多进程', 'HBase', '网络爬虫技术', 'Linux', 'Django', '云计算经验', 'Spark', 'Selenium', 'Linux开发/部署经验', '量化交易开发经验', 'Flask', 'Python']","['五险一金', '补充医疗保险', '年终奖', '员工旅游', '带薪年假', '节日福利', '通讯补贴', '零食下午茶']"
Python,大专,1-3年,南京道朋,南京,雨花台区,铁心桥,['Python'],"['交通补助', '五险一金', '定期体检']"
python开发工程师,本科,1-3年,中创书局,南京,,,"['Django', 'MySQL', 'Python', 'Flask']","['全勤奖', '生日福利', '节日福利', '节假日加班费', '五险一金', '年终奖', '定期体检']"
